Date,Group,Species,Count,x,y
1/3/18,Ungulates,White-lipped Peccary,2,-75.73898017,-0.333360633
1/9/18,Cracid,Spix's Guan,1,-75.75352201,-0.351190517
1/12/18,Bird,Great Tinamou,1,-75.71036557,-0.360574667
1/14/18,Bird,Grey-winged Trumpeter,2,-75.70286011,-0.33195301
1/11/18,Reptile,Tortoise,1,-75.69113281,-0.370897231
1/9/18,Cracid,Spix's Guan,2,-75.70004556,-0.341806367
1/10/18,Rodent,Black Agouti,1,-75.66674005,-0.367143571
1/16/18,Primate,Howler Monkey,1,-75.66486368,-0.521982041
1/12/18,Cracid,Spix's Guan,1,-75.77181658,-0.373712476
1/4/18,Reptile,Tortoise,1,-75.63390363,-0.350252102
1/2/18,Ungulates,White-lipped Peccary,2,-75.73100561,-0.367612779
1/31/18,Rodent,Lowland Paca,1,-75.73053652,-0.344621612
1/28/18,Bird,Great Tinamou,1,-75.73428925,-0.344621612
1/29/18,Ungulates,White-lipped Peccary,1,-75.74930018,-0.299108486
1/19/18,Ungulates,White-lipped Peccary,2,-75.69723101,-0.361982289
1/21/18,Armadillo,Nine-banded Armadillo,1,-75.76337293,-0.334768255
1/22/18,Cracid,Salvin's Currasow,1,-75.74695472,-0.289255129
1/22/18,Bird,Grey-winged Trumpeter,2,-75.74695472,-0.289255129
1/17/18,Cracid,Salvin's Currasow,1,-75.67143096,-0.349313687
1/8/18,Ungulates,White-lipped Peccary,1,-75.75352201,-0.346029235
1/13/18,Cracid,Salvin's Currasow,1,-75.73944926,-0.324914898
1/17/18,Ungulates,Collared Peccary,1,-75.6695546,-0.349313687
1/13/18,Armadillo,Nine-banded Armadillo,1,-75.76806385,-0.332891425
1/9/18,Ungulates,White-lipped Peccary,1,-75.74226381,-0.291601167
1/9/18,Cracid,Spix's Guan,1,-75.74226381,-0.291601167
1/8/18,Rodent,Lowland Paca,1,-75.78542024,-0.323976483
1/7/18,Ungulates,White-lipped Peccary,1,-75.76618748,-0.334299048
1/15/18,Cracid,Salvin's Currasow,1,-75.7539911,-0.296293241
1/13/18,Cracid,Spix's Guan,1,-75.75352201,-0.315530748
1/25/18,Ungulates,White-lipped Peccary,3,-75.70192192,-0.372774061
1/21/18,Ungulates,White-lipped Peccary,1,-75.78917298,-0.324914898
1/21/18,Cracid,Spix's Guan,1,-75.78917298,-0.324914898
1/24/18,Ungulates,Collared Peccary,2,-75.6860054,-0.339908651
1/28/18,Ungulates,White-lipped Peccary,1,-75.68878736,-0.338521915
1/20/18,Ungulates,White-lipped Peccary,1,-75.76337293,-0.353067347
1/25/18,Cracid,Salvin's Currasow,4,-75.74038744,-0.311777088
1/28/18,Ungulates,White-lipped Peccary,1,-75.70567466,-0.338521915
1/20/18,Bird,Grey-winged Trumpeter,1,-75.74475788,-0.29069809
1/23/18,Armadillo,Nine-banded Armadillo,1,-75.76384203,-0.33382984
1/26/18,Cracid,Spix's Guan,1,-75.64849276,-0.402453105
1/3/18,Rodent,Capibara,2,-75.72959833,-0.331014595
2/20/18,Cracid,Salvin's Currasow,1,-75.74695472,-0.358697837
2/9/18,Rodent,Lowland Paca,4,-75.73569652,-0.356351799
2/7/18,Ungulates,Red Brocket Deer,1,-75.7371038,-0.355882592
2/3/18,Cracid,Spix's Guan,1,-75.79245662,-0.324914898
2/13/18,Ungulates,Collared Peccary,1,-75.73944926,-0.360105459
2/3/18,Rodent,Lowland Paca,1,-75.7484031,-0.292654719
1/29/18,Rodent,Lowland Paca,1,-75.80661952,-0.389172818
2/8/18,Ungulates,Collared Peccary,3,-75.71036557,-0.355882592
2/27/18,Ungulates,Collared Peccary,1,-75.72490742,-0.311777088
2/10/18,Ungulates,White-lipped Peccary,1,-75.70802011,-0.321630446
2/2/18,Cracid,Salvin's Currasow,1,-75.74976928,-0.301923731
2/20/18,Rodent,Black Agouti,1,-75.7539911,-0.307085014
2/9/18,Ungulates,White-lipped Peccary,3,-75.75023837,-0.371366439
2/3/18,Ungulates,Red Brocket Deer,1,-75.75727474,-0.371835646
2/5/18,Cracid,Salvin's Currasow,2,-75.6747146,-0.356351799
2/3/18,Cracid,Spix's Guan,3,-75.6279051,-0.378474537
2/4/18,Rodent,Black Agouti,1,-75.68550371,-0.370428024
2/9/18,Ungulates,White-lipped Peccary,1,-75.70520556,-0.371835646
2/21/18,Ungulates,White-lipped Peccary,1,-75.748362,-0.298170071
2/21/18,Ungulates,Collared Peccary,2,-75.748362,-0.298170071
3/17/18,Ungulates,Lowland Tapir,1,-75.58605628,-0.501336912
2/26/18,Cracid,Spix's Guan,1,-75.6747146,-0.466615558
3/3/18,Cracid,Spix's Guan,2,-75.6622986,-0.402089794
3/8/18,Rodent,Lowland Paca,2,-75.71834013,-0.380281381
2/28/18,Bird,Great Tinamou,2,-75.6466762,-0.402453105
3/2/18,Bird,Orange-winged Parrot,3,-75.66111095,-0.395765228
3/1/18,Cracid,Nocturnal Currasow,2,-75.64234728,-0.368551194
