Station,RR,River,CR,Community,Hunting,Habitat,Effort,Trail-Distance
1,1,1020,2,1950,1,Upland,84,0
2,3,3150,4,3810,1,Lowland,130,0
3,5,5340,6,5950,0,Upland,166,0
4,8,7520,8,7850,0,Upland,172,2
5,2,2640,3,2620,1,Upland,42,0
6,5,4610,5,4840,0,Lowland,3,1
7,7,6640,7,6890,0,Upland,64,3
8,5,5490,6,5510,0,Lowland,145,2
9,8,7680,8,7560,0,Upland,169,4
10,1,1250,1,1080,1,Upland,105,0
11,3,3490,3,3360,1,Upland,27,0
12,6,6190,6,5760,0,Upland,92,1
13,8,8370,8,7840,0,Upland,100,3
14,1,1060,3,2620,1,Swamp,43,1
15,3,3200,4,3840,1,Upland,116,1
16,3,2865,5,5370,1,Lowland,119,1
17,7,7370,7,7390,0,Upland,143,3
18,6,5650,8,7820,0,Upland,122,1
19,4,3510,6,6220,1,Upland,31,0
20,1,1070,5,4790,1,Upland,57,0
21,8,7890,10,10140,0,Upland,125,4
22,8,8450,9,9450,0,Upland,97,4
23,2,2500,5,4860,1,Lowland,55,2
24,2,2160,3,3110,1,Swamp,135,4
25,4,4440,5,4810,1,Lowland,84,2
26,6,6420,7,6730,0,Upland,106,3
27,1,1140,1,1320,1,Upland,16,0
28,3,3280,3,3450,1,Upland,83,0
29,6,5990,6,6010,0,Lowland,91,2
30,8,7630,8,7910,0,Upland,91,3
