"","CommunityName","Station","Camera","gps_y","gps_x","Setup_date","Retrieval_date","Problem1_from","Problem1_to","Problem2_from","Problem2_to","Problem3_from","Problem3_to","Total","Obs"
"1","Siona","SNA1","SNA29",-0.234411,-76.434046,"2022-07-28","2022-11-24",NA,NA,NA,NA,NA,NA,0,""
"2","Siona","SNA10","SNA13",-0.192764,-76.4395,"2022-07-29","2022-11-25",NA,NA,NA,NA,NA,NA,0,""
"3","Siona","SNA11","SNA14",-0.174809,-76.446991,"2022-07-29","2022-11-25",NA,NA,NA,NA,NA,NA,0,""
"4","Siona","SNA12","SNA15",-0.188111,-76.460998,"2022-07-30","2022-11-25",NA,NA,NA,NA,NA,NA,0,""
"5","Siona","SNA13","SNA16",-0.198657,-76.475564,"2022-07-30","2022-11-23",NA,NA,NA,NA,NA,NA,0,""
"6","Siona","SNA14","SNA17",-0.217694,-76.496117,"2022-07-27","2022-11-23",NA,NA,NA,NA,NA,NA,0,""
"7","Siona","SNA15","SNA18",-0.234637,-76.485666,"2022-07-28","2022-11-23",NA,NA,NA,NA,NA,NA,0,""
"8","Siona","SNA16","SNA19",-0.232867,-76.506877,"2022-07-27","2022-11-23",NA,NA,NA,NA,NA,NA,0,""
"9","Siona","SNA17","SNA33",-0.19788,-76.495183,"2022-07-28","2022-11-24",NA,NA,NA,NA,NA,NA,0,""
"10","Siona","SNA18","SNA21",-0.20534,-76.513813,"2022-07-28","2022-11-23",NA,NA,NA,NA,NA,NA,0,""
"11","Siona","SNA19","SNA22",-0.220377,-76.525161,"2022-07-27","2022-11-23",NA,NA,NA,NA,NA,NA,0,""
"12","Siona","SNA2","SNA31",-0.249522,-76.451389,"2022-07-27","2022-11-24",NA,NA,NA,NA,NA,NA,0,""
"13","Siona","SNA20","SNA23",-0.217666,-76.544024,"2022-07-31","2022-11-24","2022-11-18","2022-11-24",NA,NA,NA,NA,6,""
"14","Siona","SNA21","SNA24",-0.199393,-76.533493,"2022-07-28","2022-11-24",NA,NA,NA,NA,NA,NA,0,""
"15","Siona","SNA22","SNA25",-0.179847,-76.488493,"2022-07-30","2022-11-25",NA,NA,NA,NA,NA,NA,0,""
"16","Siona","SNA23","SNA26",-0.162641,-76.471243,"2022-07-30","2022-11-25","2022-07-30","2022-08-25",NA,NA,NA,NA,26,""
"17","San Pablo","SNA3","SNA32",-0.264434,-76.464566,"2022-07-27","2022-11-24",NA,NA,NA,NA,NA,NA,0,""
"18","Siona","SNA4","SNA7",-0.218803,-76.419426,"2022-07-29","2022-11-25","2022-08-23","2022-09-20","2022-10-06","2022-11-03",NA,NA,94,""
"19","Siona","SNA5","SNA8",-0.243805,-76.468671,"2022-07-27","2022-11-23","2022-11-19","2022-11-23",NA,NA,NA,NA,4,"No funciona al momento de retirar"
"20","Siona","SNA6","SNA9",-0.254082,-76.485219,"2022-07-27","2022-11-23",NA,NA,NA,NA,NA,NA,0,""
"21","Siona","SNA7","SNA10",-0.225292,-76.453422,"2022-07-28","2022-11-23","2022-10-12","2022-11-23",NA,NA,NA,NA,42,"No funciona al momento de retirar"
"22","Siona","SNA8","SNA11",-0.212999,-76.438241,"2022-07-30","2022-11-24",NA,NA,NA,NA,NA,NA,0,""
"23","Siona","SNA9","SNA12",-0.198732,-76.423502,"2022-07-29","2022-11-25",NA,NA,NA,NA,NA,NA,0,""
"24","Zabalo","ZAB1","ZAB1A",-0.3585662,-75.650566,"2018-07-04","2018-09-08","2018-07-04","2018-08-02","2018-08-10","2018-09-08",NA,NA,8,NA
"25","Zabalo","ZAB1","ZAB1B",-0.3585662,-75.650566,"2018-07-04","2018-09-28","2018-07-20","2018-07-30",NA,NA,NA,NA,76,NA
"26","Zabalo","ZAB2","ZAB2A",-0.3480056,-75.634902,"2018-07-04","2018-09-28",NA,NA,NA,NA,NA,NA,86,NA
"27","Zabalo","ZAB2","ZAB2B",-0.3480056,-75.634902,"2018-07-04","2018-08-17",NA,NA,NA,NA,NA,NA,44,NA
"28","Zabalo","ZAB3","ZAB3A",-0.3358528,-75.619194,"2018-07-04","2018-09-28","2018-07-31","2018-08-06",NA,NA,NA,NA,80,NA
"29","Zabalo","ZAB3","ZAB3B",-0.3358528,-75.619194,"2018-07-04","2018-09-28",NA,NA,NA,NA,NA,NA,86,NA
"30","Zabalo","ZAB4","ZAB4A",-0.3183634,-75.608932,"2018-07-04","2018-09-28",NA,NA,NA,NA,NA,NA,86,NA
"31","Zabalo","ZAB4","ZAB4B",-0.3183634,-75.608932,"2018-07-04","2018-09-28",NA,NA,NA,NA,NA,NA,86,NA
"32","Zabalo","ZAB5","ZAB5A",-0.3402021,-75.651276,"2018-07-04","2018-08-15","2018-07-14","2018-07-14",NA,NA,NA,NA,42,NA
"33","Zabalo","ZAB6","ZAB6A",-0.3262535,-75.637213,"2018-07-04","2018-07-10","2018-07-07","2018-07-10",NA,NA,NA,NA,3,NA
