fid,cameras$St,cameraNum,_count,_sum,_mean
1,SNA1,1,124058,166,0.00133808379951313
2,SNA10,2,124077,64,0.000515808731674686
3,SNA11,3,124014,2153,0.0173609431193252
4,SNA12,4,124037,8,6.4496883994292e-05
5,SNA13,5,124067,2580,0.0207952154884055
6,SNA14,6,124060,926,0.00746413025955183
7,SNA15,7,124014,454,0.00366087699775832
8,SNA16,8,124054,14443,0.116425105196124
9,SNA17,9,124023,898,0.00724059247075139
10,SNA18,10,124026,1357,0.0109412542531405
11,SNA19,11,124052,6514,0.052510237642279
12,SNA2,12,124059,150,0.00120910212076512
13,SNA20,13,124036,2515,0.0202763713760521
14,SNA21,14,124050,7570,0.0610237807335752
15,SNA22,15,124054,3169,0.0255453270350009
16,SNA23,16,124056,3113,0.0250935061585091
17,SNA3,17,124073,2969,0.0239294608819002
18,SNA4,18,124049,96,0.000773887737910019
19,SNA5,19,124043,52,0.000419209467684593
20,SNA6,20,124015,552,0.00445107446679837
21,SNA7,21,124071,2249,0.0181267177664402
22,SNA8,22,124066,0,0
23,SNA9,23,124033,64,0.000515991711883128
24,ZAB1,24,124103,42,0.000338428563370748
25,ZAB1,25,124103,42,0.000338428563370748
26,ZAB2,26,124113,0,0
27,ZAB2,27,124113,0,0
28,ZAB3,28,124125,0,0
29,ZAB3,29,124125,0,0
30,ZAB4,30,124088,0,0
31,ZAB4,31,124088,0,0
32,ZAB5,32,124092,0,0
33,ZAB6,33,124106,0,0
34,ZAB7,34,124099,0,0
35,ZAB7,35,124099,0,0
36,ZAB8,36,124114,0,0
37,ZAB8,37,124114,0,0
38,ZAB9,38,124109,0,0
39,ZAB9,39,124109,0,0
40,ZAB10,40,124123,35,0.000281978360174988
41,ZAB10,41,124123,35,0.000281978360174988
42,ZAB11,42,124125,0,0
43,ZAB11,43,124125,0,0
44,ZAB12,44,124101,0,0
45,ZAB12,45,124101,0,0
46,ZAB13,46,124108,0,0
47,ZAB13,47,124108,0,0
48,ZAB14,48,124120,215,0.00173219465033838
49,ZAB15,49,124121,0,0
50,ZAB15,50,124121,0,0
51,ZAB16,51,124123,0,0
52,ZAB16,52,124123,0,0
53,ZAB17,53,124101,0,0
54,ZAB17,54,124101,0,0
55,ZAB18,55,124110,0,0
56,ZAB18,56,124110,0,0
57,ZAB19,57,124118,0,0
58,ZAB20,58,124102,234,0.00188554576074519
59,ZAB21,59,124101,0,0
60,ZAB21,60,124101,0,0
61,ZAB22,61,124121,0,0
62,ZAB22,62,124121,0,0
63,ZAB23,63,124092,0,0
64,ZAB24,64,124086,0,0
65,ZAB24,65,124086,0,0
66,ZAB25,66,124078,0,0
67,ZAB26,67,124127,0,0
68,ZAB26,68,124127,0,0
69,ZAB27,69,124113,0,0
70,ZAB27,70,124113,0,0
71,ZAB28,71,124098,0,0
72,ZAB29,72,124100,0,0
73,ZAB29,73,124100,0,0
74,ZAB30,74,124095,0,0
75,ZAB30,75,124095,0,0
76,SGE1,76,123879,3465,0.0279708425156806
77,SGE10,77,123913,0,0
78,SGE11,78,123869,0,0
79,SGE12,79,123852,686,0.00553886897264477
80,SGE13,80,123898,0,0
81,SGE14,81,123929,0,0
82,SGE15,82,123902,918,0.00740908137076076
83,SGE16,83,123904,0,0
84,SGE17,84,123861,0,0
85,SGE18,85,123892,1843,0.0148758596196687
86,SGE19,86,123848,0,0
87,SGE2,87,123946,6,4.84081777548287e-05
88,SGE20,88,123861,0,0
89,SGE21,89,123875,0,0
90,SGE22,90,123904,3707,0.0299183238636364
91,SGE23,91,123897,0,0
92,SGE24,92,123909,6899,0.0556779572105335
93,SGE25,93,123857,0,0
94,SGE26,94,123845,0,0
95,SGE27,95,123900,5689,0.0459160613397902
96,SGE28,96,123878,1,8.07245838647702e-06
97,SGE29,97,123905,4,3.22827973043864e-05
98,SGE3,98,123867,0,0
99,SGE30,99,123886,1,8.07193710346609e-06
100,SGE4,100,123899,0,0
101,SGE5,101,123880,5510,0.044478527607362
102,SGE6,102,123878,0,0
103,SGE7,103,123873,310,0.00250256310899066
104,SGE8,104,123913,1289,0.0104024597903368
105,SGE9,105,123908,0,0
106,SKP1,106,124045,1155,0.00931113708734733
107,SKP10,107,124061,0,0
108,SKP11,108,124072,17,0.000137017215810175
109,SKP12,109,124048,0,0
110,SKP13,110,124046,0,0
111,SKP14,111,124042,835,0.00673159091275536
112,SKP15,112,124089,0,0
113,SKP16,113,124054,3807,0.0306882486659036
114,SKP17,114,124076,0,0
115,SKP18,115,124072,0,0
116,SKP19,116,124075,4358,0.0351239169856941
117,SKP2,117,124040,88,0.000709448564979039
118,SKP20,118,124031,1976,0.0159315009957188
119,SKP21,119,124051,1,8.06120063522261e-06
120,SKP22,120,124031,0,0
121,SKP23,121,123996,4269,0.0344285299525791
122,SKP24,122,124044,0,0
123,SKP25,123,124029,7028,0.0566641672512074
124,SKP26,124,124082,814,0.0065601779468416
125,SKP27,125,124071,0,0
126,SKP28,126,124079,0,0
127,SKP29,127,124077,0,0
128,SKP3,128,124076,0,0
129,SKP30,129,124082,0,0
130,SKP31,130,124066,957,0.00771363629036158
131,SKP32,131,124012,608,0.00490275134664387
132,SKP33,132,124043,4969,0.0400586893254758
133,SKP34,133,124057,647,0.00521534455935578
134,SKP35,134,124068,1704,0.0137344037140923
135,SKP36,135,124047,1024,0.00825493562923731
136,SKP37,136,124054,632,0.00509455559675625
137,SKP4,137,124090,0,0
138,SKP5,138,124053,0,0
139,SKP6,139,124055,145,0.00116883640320825
140,SKP7,140,124084,0,0
141,SKP8,141,124081,0,0
142,SKP9,142,124068,0,0
