fid,cameras$St,cameraNum,_count,_sum,_mean
1,SNA1,1,27910286,25285619,0.905960583850699
2,SNA10,2,27910032,25141932,0.900820608159819
3,SNA11,3,27909799,25043602,0.897304993131624
4,SNA12,4,27909545,24951228,0.894003395612505
5,SNA13,5,27909214,24837000,0.889921156504085
6,SNA14,6,27908699,24662929,0.883700418998392
7,SNA15,7,27908979,24805484,0.888799407531175
8,SNA16,8,27908433,24631154,0.882570296942147
9,SNA17,9,27908603,24650959,0.883274558744485
10,SNA18,10,27908177,24516599,0.878473681745676
11,SNA19,11,27907898,24473059,0.876922332165611
12,SNA2,12,27909865,25181677,0.902250046712874
13,SNA20,13,27907442,24275122,0.869844036583503
14,SNA21,14,27907671,24345560,0.87236086450926
15,SNA22,15,27908783,24682947,0.884415024474553
16,SNA23,16,27909242,24802403,0.888680638478107
17,SNA3,17,27909557,25116998,0.899942553728101
18,SNA4,18,27910616,25370526,0.908991976386333
19,SNA5,19,27909421,25011109,0.896152915533432
20,SNA6,20,27909015,24882790,0.891568190421625
21,SNA7,21,27909792,25113447,0.899807744894695
22,SNA8,22,27910101,25207968,0.90318440624776
23,SNA9,23,27910418,25287694,0.906030644184548
24,ZAB1,24,27924532,27899938,0.999119269035556
25,ZAB1,25,27924532,27899938,0.999119269035556
26,ZAB2,26,27924689,27902302,0.999198307991899
27,ZAB2,27,27924689,27902302,0.999198307991899
28,ZAB3,28,27924817,27904138,0.999259475899162
29,ZAB3,29,27924817,27904138,0.999259475899162
30,ZAB4,30,27924871,27905121,0.999292745166128
31,ZAB4,31,27924871,27905121,0.999292745166128
32,ZAB5,32,27924480,27899616,0.999109598459846
33,ZAB6,33,27924600,27901622,0.999177141301934
34,ZAB7,34,27924703,27904275,0.999268461333322
35,ZAB7,35,27924703,27904275,0.999268461333322
36,ZAB8,36,27924423,27899967,0.999124207508245
37,ZAB8,37,27924423,27899967,0.999124207508245
38,ZAB9,38,27924514,27901018,0.99915858875825
39,ZAB9,39,27924514,27901018,0.99915858875825
40,ZAB10,40,27924330,27898609,0.999078903594106
41,ZAB10,41,27924330,27898609,0.999078903594106
42,ZAB11,42,27924298,27898755,0.999085276915466
43,ZAB11,43,27924298,27898755,0.999085276915466
44,ZAB12,44,27924227,27898673,0.999084880666527
45,ZAB12,45,27924227,27898673,0.999084880666527
46,ZAB13,46,27924306,27898808,0.999086888676839
47,ZAB13,47,27924306,27898808,0.999086888676839
48,ZAB14,48,27924087,27897874,0.999061276381212
49,ZAB15,49,27924050,27897833,0.999061131891685
50,ZAB15,50,27924050,27897833,0.999061131891685
51,ZAB16,51,27924104,27897920,0.999062315481994
52,ZAB16,52,27924104,27897920,0.999062315481994
53,ZAB17,53,27924090,27898483,0.999082978174043
54,ZAB17,54,27924090,27898483,0.999082978174043
55,ZAB18,55,27923896,27896758,0.999028144210249
56,ZAB18,56,27923896,27896758,0.999028144210249
57,ZAB19,57,27923876,27897095,0.999040928272279
58,ZAB20,58,27923846,27897016,0.999039172469294
59,ZAB21,59,27923817,27897259,0.999048912260097
60,ZAB21,60,27923817,27897259,0.999048912260097
61,ZAB22,61,27924023,27897567,0.999052572045224
62,ZAB22,62,27924023,27897567,0.999052572045224
63,ZAB23,63,27923589,27892065,0.99887106202573
64,ZAB24,64,27923408,27890794,0.998832019358096
65,ZAB24,65,27923408,27890794,0.998832019358096
66,ZAB25,66,27923480,27891519,0.998855407707062
67,ZAB26,67,27923640,27895831,0.99900410548195
68,ZAB26,68,27923640,27895831,0.99900410548195
69,ZAB27,69,27923186,27890876,0.998842897082016
70,ZAB27,70,27923186,27890876,0.998842897082016
71,ZAB28,71,27923285,27891212,0.9988513887245
72,ZAB29,72,27923355,27892235,0.998885520740613
73,ZAB29,73,27923355,27892235,0.998885520740613
74,ZAB30,74,27923529,27896956,0.999048365269304
75,ZAB30,75,27923529,27896956,0.999048365269304
76,SGE1,76,27878358,26932878,0.966085520531733
77,SGE10,77,27875729,26179198,0.939139492997654
78,SGE11,78,27877297,26691380,0.957459397874909
79,SGE12,79,27876351,26241109,0.941339452929115
80,SGE13,80,27875703,26098104,0.936231240517952
81,SGE14,81,27875143,25940085,0.930581235045144
82,SGE15,82,27875906,26128966,0.937331543591803
83,SGE16,83,27875237,25988588,0.932318100111579
84,SGE17,84,27874460,25711704,0.922410837734614
85,SGE18,85,27875464,26031694,0.93385688575444
86,SGE19,86,27874682,25851201,0.927407925227631
87,SGE2,87,27877732,26806870,0.961587190808779
88,SGE20,88,27874223,25688979,0.921603411151586
89,SGE21,89,27873464,25370451,0.910200863444888
90,SGE22,90,27874587,25808945,0.925895153173032
91,SGE23,91,27874048,25622769,0.919233869440133
92,SGE24,92,27874156,25637010,0.919741211177838
93,SGE25,93,27873448,25354870,0.909642395156853
94,SGE26,94,27872787,25055556,0.898925392713689
95,SGE27,95,27873991,25510361,0.91520302923252
96,SGE28,96,27873193,25291945,0.907393171639862
97,SGE29,97,27873594,25226295,0.905024841791123
98,SGE3,98,27876511,26433115,0.948221784282832
99,SGE30,99,27872793,25063329,0.899204073305463
100,SGE4,100,27877134,26649878,0.955976249208401
101,SGE5,101,27877674,26690673,0.957421089004771
102,SGE6,102,27877016,26551306,0.952444336223074
103,SGE7,103,27876694,26479176,0.949867871706738
104,SGE8,104,27876948,26424011,0.947880341850909
105,SGE9,105,27876387,26323633,0.944298592209959
106,SKP1,106,27914832,27032636,0.968396872315047
107,SKP10,107,27914338,27012637,0.967697568181628
108,SKP11,108,27913494,26533697,0.950568818077737
109,SKP12,109,27913581,26605350,0.953132813736797
110,SKP13,110,27913728,26687401,0.956067244045654
111,SKP14,111,27913131,26462221,0.948020521237836
112,SKP15,112,27913912,26861710,0.962305462595139
113,SKP16,113,27912637,26338304,0.943597840648306
114,SKP17,114,27912747,26425811,0.946729141348933
115,SKP18,115,27913039,26552421,0.951255110559621
116,SKP19,116,27912197,26247774,0.940369330296716
117,SKP2,117,27914347,26840866,0.961543753826661
118,SKP20,118,27911596,26063045,0.933771218242053
119,SKP21,119,27911270,26088978,0.934711247463838
120,SKP22,120,27911674,26221638,0.939450568246104
121,SKP23,121,27911261,26177331,0.937877045397555
122,SKP24,122,27911906,26321109,0.943006507688869
123,SKP25,123,27911485,26371831,0.944837976195104
124,SKP26,124,27911949,26456808,0.947866736213942
125,SKP27,125,27912523,26623248,0.953810158974164
126,SKP28,126,27914048,27019680,0.967959931859399
