fid,ag10KM,Station,ag20KM,ag2KM,ag30KM,ag40KM,ag50KM
1,0.07060731350724211,SNA1,0.10986586416802167,0.001338083799513131,0.08053142128317854,0.06752332236523555,0.06499739707347477
2,0.04847027123591404,SNA10,0.11250492462531934,5.158087316746859e-4,0.08679280625690433,0.07165894691646059,0.06994988243334073
3,0.06116838598788145,SNA11,0.11087718856975727,0.017360943119325237,0.09036926421433562,0.07442319541059081,0.07269145386519378
4,0.06753819240102223,SNA12,0.12372669577659838,6.449688399429202e-5,0.09312849779528831,0.07681883961390265,0.07467777952729762
5,0.10145697721888969,SNA13,0.13319038053081506,0.020795215488405457,0.0964599719648142,0.08008066961024791,0.07703406438701528
6,0.168758239235141,SNA14,0.14156384864630586,0.00746413025955183,0.10148043805266595,0.08443266949739174,0.07952709519887466
7,0.1687283353869938,SNA15,0.13406581765538964,0.0036608769977583178,0.09593202961670508,0.07993349057349124,0.07521389390375302
8,0.19343161731935996,SNA16,0.1412676250963216,0.11642510519612427,0.10201310836763927,0.0855967760149976,0.07982725132307467
9,0.13287229033776854,SNA17,0.13944224006916553,0.007240592470751393,0.10240591404736382,0.08577573857561781,0.08113646711793347
10,0.1821541833257764,SNA18,0.14616163046173822,0.010941254253140471,0.10661971937471947,0.09008934633709687,0.08384205521852889
11,0.21830094530955477,SNA19,0.1503788228455471,0.052510237642279044,0.1076735696826755,0.09182346099296555,0.08459149828011876
12,0.12628239586292606,SNA2,0.11570795593370806,0.0012091021207651198,0.0832123695331382,0.07047754963676094,0.06701100341617697
13,0.2554533278852998,SNA20,0.15164225562846514,0.020276371376052114,0.11413468135130407,0.09777298737631795,0.08715048784791321
14,0.19885270833843943,SNA21,0.150955323838439,0.06102378073357517,0.11213311207517102,0.09673468820925059,0.08783070018440825
15,0.08912544340535311,SNA22,0.13417178184161133,0.025545327035000887,0.10163352518811014,0.08484136256697701,0.08104471956111575
16,0.0649544216835922,SNA23,0.12464022028813335,0.02509350615850906,0.098296650263737,0.08079756862135716,0.07879996103461356
17,0.15089163148843657,SNA3,0.11563983434428807,0.02392946088190017,0.08488447165248807,0.07169806339190242,0.0682623329479838
18,0.037802165485725195,SNA4,0.10382550444318883,7.738877379100195e-4,0.07882699543428207,0.065626269178041,0.06357821227940585
19,0.14840020160932743,SNA5,0.12463043794247582,4.1920946768459323e-4,0.08917891919004697,0.07483446372745518,0.0709557433431708
20,0.17375171922288707,SNA6,0.12711725714727967,0.004451074466798371,0.09321797992512455,0.0780746056985949,0.073075481799095
21,0.10256265562734952,SNA7,0.12287651345929546,0.018126717766440183,0.08621092554183134,0.07263821502798895,0.07024469645021812
22,0.05283133493617856,SNA8,0.11533237637048811,0,0.0841242029185061,0.06979979234906511,0.06786863515332427
23,0.04569230297939303,SNA9,0.10359319919875247,5.159917118831279e-4,0.082134993463731,0.0685927289487172,0.06580589138702246
