Community,Sinangoe,Sinangoe,Sinangoe,Sinangoe,Sinangoe,Sinangoe,Sinangoe,Sinangoe,,Sinangoe,Sinangoe,Sinangoe,Sinangoe,Sinangoe,Sinangoe,Sinangoe,Sinangoe
InOut,Outside,Outside,Outside,Outside,Outside,Outside,Outside,Outside,,Inside,Inside,Inside,Inside,Inside,Inside,Inside,Inside
Year,1985,1990,1995,2000,2005,2010,2015,2020,,1985,1990,1995,2000,2005,2010,2015,2020
ForestFormation,16252091,15960295,15983323,14793659,14933851,14952856,14767470,14362146,,330618,332493,332443,331987,331837,332270,332402,332528
FloodedForest,1251,516,516,26,112,110,199,1072,,,,,,,,,
Wetland,14169,13811,13626,13359,13263,13747,13192,13834,,,,,,,,,
Grassland,328105,329438,325780,323933,322530,321056,326416,327104,,,,,,,,,
OtherNonForestNaturalArea,700118,714026,735296,618095,559836,573317,574630,634781,,,,22,239,209,12,31,60
Farming,2031792,2393371,2344552,3845854,3772182,3756932,3905390,4210096,,10051,10178,10182,10461,10659,10620,10493,9995
UrbanInfrastructure,28070,36592,36686,47094,60052,76341,87068,100101,,,,,,,,,
OtherNonVegetatedArea,318353,318190,327943,121814,110822,93374,101489,119370,,354,362,387,246,175,122,48,75
NonObserved,36883,38143,37114,38824,39152,39022,39530,39777,,,,,,,,,
Water,182260,202113,202023,206046,198279,183369,195659,200768,,1251,1274,1273,1374,1427,1283,1333,1649
Glacier,20890,17550,17186,15039,13815,13625,12673,11805,,,,,,,,,
Mining,,,,302,151,296,329,3191,,,,,,,,,
Total,19913982,20024045,20024045,20024045,20024045,20024045,20024045,20024045,,342274,344307,344307,344307,344307,344307,344307,344307
CombinedNaturalArea,17295734,17018086,17058541,15749072,15829592,15861086,15681907,15338937,,330618,332493,332465,332226,332046,332282,332433,332588
CombinedNonNaturalArea,2378215,2748153,2709181,4015064,3943207,3926943,4094276,4432758,,10405,10540,10569,10707,10834,10742,10541,10070
PercentNaturalArea,86.85221268,84.98825287,85.19028498,78.65080207,79.05291863,79.21019954,78.31538033,76.60258954,,96.59454122,96.56875986,96.56062758,96.49121278,96.43893386,96.50747734,96.55133355,96.59635151
PercentNonNaturalArea,11.94243823,13.724265,13.52963899,20.05121343,19.69235986,19.61113751,20.44679784,22.13717558,,3.039962136,3.061221526,3.069644242,3.109724751,3.146610438,3.119890098,3.061511965,2.924715443
