Community,Siona,Siona,Siona,Siona,Siona,Siona,Siona,Siona,,Siona,Siona,Siona,Siona,Siona,Siona,Siona,Siona
InOut,Outside,Outside,Outside,Outside,Outside,Outside,Outside,Outside,,Inside,Inside,Inside,Inside,Inside,Inside,Inside,Inside
Year,1985,1990,1995,2000,2005,2010,2015,2020,,1985,1990,1995,2000,2005,2010,2015,2020
ForestFormation,20471962,19915250,19794825,17746250,17858006,17646192,17384318,16909649,,134528,134321,134321,132252,132405,131639,130463,129591
FloodedForest,939862,888577,935099,976340,978371,989508,1064085,1078617,,,,,,,,8,7
Wetland,7988,8203,11263,11355,11325,12470,9957,11299,,,,,,,,,
Grassland,,,,,,,,,,,,,,,,,
OtherNonForestNaturalArea,,,,,,,,,,,,,,,,,
Farming,1711778,2216004,2270324,4508366,4406037,4608968,4765629,5178138,,221,1120,1120,3321,3208,4171,5329,6202
UrbanInfrastructure,46644,61704,63473,73781,92736,116217,130331,150622,,11,6,6,,131,9,60,57
OtherNonVegetatedArea,245715,298395,313629,72832,47904,36429,44081,68660,,105,84,84,62,,63,38,21
NonObserved,112,109,132,95,114,145,128,150,,,,,,,,,
Water,454565,490384,489881,489561,484002,468578,479790,480593,,998,785,785,681,572,434,418,438
Glacier,,,,,,,,,,,,,,,,,
Mining,,,,46,131,119,307,898,,,,,,,,,
Total,23878626,23878626,23878626,23878626,23878626,23878626,23878626,23878626,,135863,136316,136316,136316,136316,136316,136316,136316
CombinedNaturalArea,21419812,20812030,20741187,18733945,18847702,18648170,18458360,17999565,,134528,134321,134321,132252,132405,131639,130471,129598
CombinedNonNaturalArea,2004137,2576103,2647426,4655025,4546808,4761733,4940348,5398318,,337,1210,1210,3383,3339,4243,5427,6280
PercentNaturalArea,89.70286649,87.15756928,86.86088973,78.45487006,78.93126682,78.0956576,77.30076262,75.37939997,,99.01739252,98.53648875,98.53648875,97.01869186,97.13093107,96.56900144,95.71216878,95.07174506
PercentNonNaturalArea,8.393016416,10.78832174,11.08701146,19.49452619,19.0413301,19.94140283,20.68941488,22.60732255,,0.248043985,0.887643417,0.887643417,2.481733619,2.449455677,3.112620675,3.981190763,4.606942692
