"","Community","InOut","Year","ForestFormation","FloodedForest","Wetland","Grassland","OtherNonForestNaturalArea","Farming","UrbanInfrastructure","OtherNonVegetatedArea","NonObserved","Water","Glacier","Mining","Total","CombinedNaturalArea","CombinedNonNaturalArea","PercentNaturalArea","PercentNonNaturalArea"
"V2","Zabalo","Outside","1985","30814657","3487433","6763","","","382935","6390","76716","170","680724","","","35455788","34308853","389325","96.7651685","1.098057671"
"V3","Zabalo","Outside","1990","30949272","3401022","2843","","","385475","9106","50165","142","692302","","","35490327","34353137","394581","96.7957748","1.111798716"
"V4","Zabalo","Outside","1995","30942585","3399510","9873","","","403680","10893","48847","167","674772","","","35490327","34351968","414573","96.79248095","1.168129558"
"V5","Zabalo","Outside","2000","30242926","3493345","12032","","","1015098","12186","39264","148","675328","","","35490327","33748303","1027284","95.09155269","2.894546449"
"V6","Zabalo","Outside","2005","30229679","3450780","15166","","","1088863","14694","26857","157","664105","","26","35490327","33695625","1103583","94.94312352","3.109531789"
"V7","Zabalo","Outside","2010","30112512","3431135","17027","","","1229250","17193","29667","209","653292","","42","35490327","33560674","1246485","94.56287625","3.512182348"
"V8","Zabalo","Outside","2015","29762366","3717779","13273","","","1291375","19274","30994","261","654952","","53","35490327","33493418","1310702","94.37337109","3.693124608"
"V9","Zabalo","Outside","2020","29785270","3406412","14814","","","1547176","22835","44021","286","669353","","160","35490327","33206496","1570171","93.56491982","4.424222409"
"V11","Zabalo","Inside","1985","1333097","192625","16","","","95","","533","1","9228","","","1535595","1525738","95","99.35809898","0.006186527"
"V12","Zabalo","Inside","1990","1342779","183829","","","","12","","11","1","10399","","","1537031","1526608","12","99.32187444","0.000780726"
"V13","Zabalo","Inside","1995","1338461","188423","34","","","","14","16","","10083","","","1537031","1526918","14","99.3420432","0.000910847"
"V14","Zabalo","Inside","2000","1324182","202154","37","","","758","15","57","","9828","","","1537031","1526373","773","99.30658523","0.050291764"
"V15","Zabalo","Inside","2005","1325531","200536","31","","","1028","23","234","","9648","","","1537031","1526098","1051","99.28869359","0.068378582"
"V16","Zabalo","Inside","2010","1323072","203268","21","","","901","22","370","","9377","","","1537031","1526361","923","99.3058045","0.060050838"
"V17","Zabalo","Inside","2015","1312726","213817","8","","","894","10","164","4","9408","","","1537031","1526551","904","99.318166","0.058814689"
"V18","Zabalo","Inside","2020","1289582","234698","15","","","3181","21","398","4","9132","","","1537031","1524295","3202","99.17138952","0.20832371"
"V21","Sinangoe","Outside","1985","16252091","1251","14169","328105","700118","2031792","28070","318353","36883","182260","20890","","19913982","17295734","2378215","86.85221268","11.94243823"
"V31","Sinangoe","Outside","1990","15960295","516","13811","329438","714026","2393371","36592","318190","38143","202113","17550","","20024045","17018086","2748153","84.98825287","13.724265"
"V41","Sinangoe","Outside","1995","15983323","516","13626","325780","735296","2344552","36686","327943","37114","202023","17186","","20024045","17058541","2709181","85.19028498","13.52963899"
"V51","Sinangoe","Outside","2000","14793659","26","13359","323933","618095","3845854","47094","121814","38824","206046","15039","302","20024045","15749072","4015064","78.65080207","20.05121343"
