"","AdultHeadBodyLen_mm","AdultBodyMass_g","LitterSize","GR_Area_km2","ActivityCycle","TrophicLevel","HabitatBreadth","DietBreadth","Order","Family","Genus","Species"
"Camelus_dromedarius",NA,492714.47,0.98,NA,"diurnal","herbivore","1","3","Artiodactyla","Camelidae","Camelus","dromedarius"
"Canis_adustus",745.32,10392.49,4.5,10581413.14,"nocturnal","omnivore","1","6","Carnivora","Canidae","Canis","adustus"
"Canis_aureus",827.53,9658.7,3.74,25739527.43,"other","omnivore","1","6","Carnivora","Canidae","Canis","aureus"
"Canis_latrans",872.39,11989.1,5.72,17099094.3,"other","carnivore","1","1","Carnivora","Canidae","Canis","latrans"
"Canis_lupus",1055,31756.51,4.98,50803439.7,"other","carnivore","1","1","Carnivora","Canidae","Canis","lupus"
"Bos_frontalis",2700,800143.05,1.22,2294331.63,"other","herbivore",NA,"3","Artiodactyla","Bovidae","Bos","frontalis"
"Bos_grunniens",NA,5e+05,1,1523540.07,NA,"herbivore",NA,"2","Artiodactyla","Bovidae","Bos","grunniens"
"Bos_javanicus",2075,635974.34,1.22,1687920.66,"other","herbivore","1","2","Artiodactyla","Bovidae","Bos","javanicus"
"Callicebus_cupreus",354.99,1117.02,1.01,690923.14,"diurnal",NA,"1",NA,"Primates","Pitheciidae","Callicebus","cupreus"
"Callicebus_discolor",NA,NA,NA,NA,NA,NA,NA,NA,"Primates","Pitheciidae","Callicebus","discolor"
"Callicebus_donacophilus",NA,897.67,1.02,288759.02,"diurnal",NA,"1",NA,"Primates","Pitheciidae","Callicebus","donacophilus"
"Callicebus_dubius",NA,992.4,1.02,NA,"diurnal",NA,"1",NA,"Primates","Pitheciidae","Callicebus","dubius"
"Callicebus_hoffmannsi",NA,1067.61,1.02,98076.46,"diurnal",NA,"1",NA,"Primates","Pitheciidae","Callicebus","hoffmannsi"
"Callicebus_lucifer",NA,NA,NA,NA,NA,NA,NA,NA,"Primates","Pitheciidae","Callicebus","lucifer"
"Callicebus_lugens",NA,NA,NA,NA,NA,NA,NA,NA,"Primates","Pitheciidae","Callicebus","lugens"
"Callicebus_medemi",NA,NA,NA,36587.57,NA,NA,NA,NA,"Primates","Pitheciidae","Callicebus","medemi"
"Callicebus_melanochir",NA,NA,NA,60497.71,NA,NA,NA,NA,"Primates","Pitheciidae","Callicebus","melanochir"
"Callicebus_modestus",NA,992.4,1.02,17288.42,"diurnal",NA,"1",NA,"Primates","Pitheciidae","Callicebus","modestus"
"Caluromys_derbianus",231,326.72,3.14,678553.48,"nocturnal","omnivore","1","3","Didelphimorphia","Didelphidae","Caluromys","derbianus"
"Caluromys_lanatus",273.3,350.33,NA,3683731.12,"nocturnal","omnivore","2","4","Didelphimorphia","Didelphidae","Caluromys","lanatus"
"Caluromys_philander",224.27,246.47,4.18,3212264.13,"nocturnal","omnivore","2","4","Didelphimorphia","Didelphidae","Caluromys","philander"
"Caluromysiops_irrupta",234.52,257.48,2,188864.44,"nocturnal","omnivore","1","3","Didelphimorphia","Didelphidae","Caluromysiops","irrupta"
"Calyptophractus_retusus",157.5,129.99,NA,1081453.8,NA,"omnivore","2","4","Cingulata","Dasypodidae","Calyptophractus","retusus"
"Camelus_bactrianus",NA,554515.91,1.39,188693,NA,"herbivore","1","2","Artiodactyla","Camelidae","Camelus","bactrianus"
"Bos_sauveli",2175,791321.76,NA,115557.18,"other","herbivore","1","2","Artiodactyla","Bovidae","Bos","sauveli"
"Bos_taurus",NA,618642.42,NA,44447.62,NA,NA,NA,NA,"Artiodactyla","Bovidae","Bos","taurus"
"Boselaphus_tragocamelus",2000,182253.04,1.39,2192564.81,NA,"herbivore",NA,"5","Artiodactyla","Bovidae","Boselaphus","tragocamelus"
"Brachiones_przewalskii",NA,NA,NA,940177.9,NA,NA,NA,NA,"Rodentia","Muridae","Brachiones","przewalskii"
"Canis_mesomelas",707.27,8247.3,3.89,6248779.95,"other","omnivore","1","6","Carnivora","Canidae","Canis","mesomelas"
"Canis_simensis",938.19,14361.86,NA,11402.81,"diurnal","carnivore","1","1","Carnivora","Canidae","Canis","simensis"
"Cannomys_badius",NA,472.07,2,818286,NA,NA,NA,NA,"Rodentia","Spalacidae","Cannomys","badius"
"Cansumys_canus",NA,NA,NA,267130.76,NA,NA,NA,NA,"Rodentia","Cricetidae","Cansumys","canus"
"Caperea_marginata",NA,31999999.98,0.98,NA,NA,NA,NA,NA,"Cetacea","Neobalaenidae","Caperea","marginata"
"Capra_caucasica",NA,58149.52,1.09,32781.87,NA,NA,NA,NA,"Artiodactyla","Bovidae","Capra","caucasica"
"Capra_falconeri",1590,54303.37,1.73,155075.85,"diurnal","herbivore","1","2","Artiodactyla","Bovidae","Capra","falconeri"
"Capra_hircus",NA,47386.47,1.45,NA,NA,"herbivore",NA,"2","Artiodactyla","Bovidae","Capra","hircus"
"Capra_ibex",NA,69546.83,1.11,145098.13,NA,"herbivore","1","2","Artiodactyla","Bovidae","Capra","ibex"
"Atelerix_algirus",214.76,903.98,2.5,815329.89,"nocturnal","omnivore",NA,"3","Erinaceomorpha","Erinaceidae","Atelerix","algirus"
"Atelerix_frontalis",181.82,329.12,4.99,1497998.13,"nocturnal","omnivore","1","6","Erinaceomorpha","Erinaceidae","Atelerix","frontalis"
"Atelerix_sclateri",129.99,NA,NA,198274.28,"nocturnal",NA,NA,NA,"Erinaceomorpha","Erinaceidae","Atelerix","sclateri"
"Ateles_belzebuth",459.3,6692.42,1.02,1030364.23,"diurnal","herbivore","1","2","Primates","Atelidae","Ateles","belzebuth"
"Ateles_chamek",454.28,7053.92,NA,990902.31,"diurnal","herbivore","1","2","Primates","Atelidae","Ateles","chamek"
"Ateles_fusciceps",489.15,9067.94,1.01,201579.73,"diurnal","herbivore","1","2","Primates","Atelidae","Ateles","fusciceps"
"Ateles_geoffroyi",433.07,7582.4,1.01,806609.19,"diurnal","herbivore","1","2","Primates","Atelidae","Ateles","geoffroyi"
"Ateles_hybridus",NA,NA,NA,144643.82,NA,NA,NA,NA,"Primates","Atelidae","Ateles","hybridus"
"Ateles_marginatus",460.27,6229.28,NA,831855.4,"diurnal","herbivore","1","2","Primates","Atelidae","Ateles","marginatus"
"Ateles_paniscus",575.96,8697.25,1,892635.1,"diurnal","omnivore","1","6","Primates","Atelidae","Ateles","paniscus"
"Callicebus_moloch",358.65,958.13,1.01,911442.78,"diurnal","omnivore","1","3","Primates","Pitheciidae","Callicebus","moloch"
"Callicebus_nigrifrons",NA,NA,NA,513267.9,NA,NA,NA,NA,"Primates","Pitheciidae","Callicebus","nigrifrons"
"Callicebus_oenanthe",NA,992.4,1.02,5807.21,"diurnal",NA,"1",NA,"Primates","Pitheciidae","Callicebus","oenanthe"
"Callicebus_olallae",NA,992.4,1.02,17288.42,"diurnal",NA,"1",NA,"Primates","Pitheciidae","Callicebus","olallae"
"Callicebus_ornatus",NA,NA,NA,23066.97,NA,NA,NA,NA,"Primates","Pitheciidae","Callicebus","ornatus"
"Callicebus_pallescens",NA,NA,NA,93328.33,NA,NA,NA,NA,"Primates","Pitheciidae","Callicebus","pallescens"
"Callicebus_personatus",362.49,1390.8,1.01,172664.46,"diurnal","herbivore","1","4","Primates","Pitheciidae","Callicebus","personatus"
"Callicebus_purinus",NA,NA,NA,NA,NA,NA,NA,NA,"Primates","Pitheciidae","Callicebus","purinus"
"Callicebus_regulus",NA,NA,NA,NA,NA,NA,NA,NA,"Primates","Pitheciidae","Callicebus","regulus"
"Callicebus_stephennashi",NA,NA,NA,NA,NA,NA,NA,NA,"Primates","Pitheciidae","Callicebus","stephennashi"
"Callicebus_torquatus",294.99,1209.57,1.01,NA,"diurnal","omnivore","1","4","Primates","Pitheciidae","Callicebus","torquatus"
"Callimico_goeldii",280,558,1.05,462922.05,"diurnal","omnivore","1","2","Primates","Cebidae","Callimico","goeldii"
"Callistomys_pictus",NA,518.99,NA,37773.91,NA,NA,NA,NA,"Rodentia","Echimyidae","Callistomys","pictus"
"Callithrix_acariensis",NA,NA,NA,79622.42,NA,NA,NA,NA,"Primates","Cebidae","Callithrix","acariensis"
"Callithrix_argentata",NA,382.92,1.84,123514,"diurnal","omnivore","1","4","Primates","Cebidae","Callithrix","argentata"
"Callithrix_aurita",239.99,386.2,2,87653.49,"diurnal","omnivore","1","3","Primates","Cebidae","Callithrix","aurita"
"Callithrix_chrysoleuca",NA,NA,NA,60733.28,"diurnal",NA,NA,NA,"Primates","Cebidae","Callithrix","chrysoleuca"
"Callithrix_emiliae",NA,309.58,NA,160568.97,NA,NA,NA,NA,"Primates","Cebidae","Callithrix","emiliae"
"Callithrix_flaviceps",239.99,372.97,2,27330.89,"diurnal","omnivore","1","3","Primates","Cebidae","Callithrix","flaviceps"
"Callithrix_geoffroyi",NA,342,NA,132745.3,"diurnal",NA,"1",NA,"Primates","Cebidae","Callithrix","geoffroyi"
"Callithrix_humeralifera",NA,374.99,NA,129628,"diurnal","omnivore","1","4","Primates","Cebidae","Callithrix","humeralifera"
"Callithrix_humilis",NA,NA,NA,21239.49,NA,NA,NA,NA,"Primates","Cebidae","Callithrix","humilis"
"Callithrix_intermedia",NA,NA,2,73178.5,"diurnal",NA,NA,NA,"Primates","Cebidae","Callithrix","intermedia"
"Callithrix_jacchus",NA,290.21,2.31,604264.4,"diurnal","omnivore","1","5","Primates","Cebidae","Callithrix","jacchus"
"Callithrix_kuhlii",NA,374.99,NA,34583.88,"diurnal","omnivore","1","4","Primates","Cebidae","Callithrix","kuhlii"
"Callithrix_leucippe",NA,NA,NA,14616.07,"diurnal",NA,NA,NA,"Primates","Cebidae","Callithrix","leucippe"
"Callithrix_manicorensis",NA,NA,NA,18875.99,NA,NA,NA,NA,"Primates","Cebidae","Callithrix","manicorensis"
"Callithrix_marcai",NA,NA,NA,44500.24,NA,NA,NA,NA,"Primates","Cebidae","Callithrix","marcai"
"Callithrix_mauesi",NA,443.79,NA,2038.88,NA,"omnivore","1","4","Primates","Cebidae","Callithrix","mauesi"
"Callithrix_melanura",NA,NA,NA,543620.62,NA,NA,NA,NA,"Primates","Cebidae","Callithrix","melanura"
"Callithrix_nigriceps",NA,401.12,2,24958.88,"diurnal","omnivore","1","4","Primates","Cebidae","Callithrix","nigriceps"
"Callithrix_penicillata",NA,339.98,2,1325473.3,"diurnal",NA,"1",NA,"Primates","Cebidae","Callithrix","penicillata"
"Callithrix_pygmaea",154.6,123.94,1.93,1508925.87,"diurnal","omnivore","1","3","Primates","Cebidae","Callithrix","pygmaea"
"Callithrix_saterei",NA,NA,NA,18742.81,"diurnal",NA,NA,NA,"Primates","Cebidae","Callithrix","saterei"
"Callorhinus_ursinus",1734.82,55464.82,1.04,NA,"other","omnivore","2","6","Carnivora","Otariidae","Callorhinus","ursinus"
"Callosciurus_adamsi",203.5,208.72,1.94,30384.46,"diurnal","omnivore","1","6","Rodentia","Sciuridae","Callosciurus","adamsi"
"Callosciurus_albescens",NA,NA,NA,432350.65,NA,NA,NA,NA,"Rodentia","Sciuridae","Callosciurus","albescens"
"Callosciurus_baluensis",203.5,323.91,3,20853.19,"diurnal","omnivore","1","6","Rodentia","Sciuridae","Callosciurus","baluensis"
"Callosciurus_caniceps",211.08,264.91,2.19,420861.69,NA,NA,"1",NA,"Rodentia","Sciuridae","Callosciurus","caniceps"
"Callosciurus_erythraeus",211.93,283.23,1.94,2354368.13,NA,"herbivore","1","3","Rodentia","Sciuridae","Callosciurus","erythraeus"
"Callosciurus_finlaysonii",NA,NA,NA,723854.08,NA,NA,"1",NA,"Rodentia","Sciuridae","Callosciurus","finlaysonii"
"Callosciurus_inornatus",NA,NA,NA,235249.21,NA,NA,NA,NA,"Rodentia","Sciuridae","Callosciurus","inornatus"
"Callosciurus_melanogaster",213,296,NA,5140.87,"diurnal","omnivore","2","4","Rodentia","Sciuridae","Callosciurus","melanogaster"
"Callosciurus_nigrovittatus",203.5,208.3,2.36,1450546.42,"diurnal","omnivore","1","6","Rodentia","Sciuridae","Callosciurus","nigrovittatus"
"Callosciurus_notatus",203.5,209.49,2.62,1474469.76,"diurnal","omnivore","1","6","Rodentia","Sciuridae","Callosciurus","notatus"
"Callosciurus_orestes",203.5,323.91,3,35107.14,"diurnal","omnivore","1","6","Rodentia","Sciuridae","Callosciurus","orestes"
"Callosciurus_phayrei",NA,NA,NA,99941.58,NA,NA,NA,NA,"Rodentia","Sciuridae","Callosciurus","phayrei"
"Callosciurus_prevostii",247,400,1.29,1315342.19,"diurnal","omnivore","1","6","Rodentia","Sciuridae","Callosciurus","prevostii"
