cameras$St,SAMPLE_1
SNA1,5.81680433242582e-05
SNA10,5.81680433242582e-05
SNA11,5.81680433242582e-05
SNA12,5.81680433242582e-05
SNA13,5.81680433242582e-05
SNA14,5.81680433242582e-05
SNA15,5.81680433242582e-05
SNA16,5.83980581723154e-05
SNA17,5.81680433242582e-05
SNA18,5.83980581723154e-05
SNA19,5.83980581723154e-05
SNA2,5.81680433242582e-05
SNA20,5.83980581723154e-05
SNA21,5.83980581723154e-05
SNA22,5.81680433242582e-05
SNA23,5.81680433242582e-05
SNA3,5.85716843488626e-05
SNA4,5.81680433242582e-05
SNA5,5.81680433242582e-05
SNA6,5.85716843488626e-05
SNA7,5.81680433242582e-05
SNA8,5.81680433242582e-05
SNA9,5.81680433242582e-05
ZAB1,6.5990665461868e-05
ZAB1,6.5990665461868e-05
ZAB2,6.5990665461868e-05
ZAB2,6.5990665461868e-05
ZAB3,6.5990665461868e-05
ZAB3,6.5990665461868e-05
ZAB4,6.5990665461868e-05
ZAB4,6.5990665461868e-05
ZAB5,6.5990665461868e-05
ZAB6,6.5990665461868e-05
ZAB7,6.5990665461868e-05
ZAB7,6.5990665461868e-05
ZAB8,6.5990665461868e-05
ZAB8,6.5990665461868e-05
ZAB9,6.5990665461868e-05
ZAB9,6.5990665461868e-05
ZAB10,6.5990665461868e-05
ZAB10,6.5990665461868e-05
ZAB11,6.5990665461868e-05
ZAB11,6.5990665461868e-05
ZAB12,6.5990665461868e-05
ZAB12,6.5990665461868e-05
ZAB13,6.5990665461868e-05
ZAB13,6.5990665461868e-05
ZAB14,6.5990665461868e-05
ZAB15,6.5990665461868e-05
ZAB15,6.5990665461868e-05
ZAB16,6.5990665461868e-05
ZAB16,6.5990665461868e-05
ZAB17,6.5990665461868e-05
ZAB17,6.5990665461868e-05
ZAB18,6.5990665461868e-05
ZAB18,6.5990665461868e-05
ZAB19,6.5990665461868e-05
ZAB20,6.5990665461868e-05
ZAB21,6.5990665461868e-05
ZAB21,6.5990665461868e-05
ZAB22,6.5990665461868e-05
ZAB22,6.5990665461868e-05
ZAB23,6.5990665461868e-05
ZAB24,6.5990665461868e-05
ZAB24,6.5990665461868e-05
ZAB25,6.5990665461868e-05
ZAB26,6.5990665461868e-05
ZAB26,6.5990665461868e-05
ZAB27,6.58350472804159e-05
ZAB27,6.58350472804159e-05
ZAB28,6.5990665461868e-05
ZAB29,6.5990665461868e-05
ZAB29,6.5990665461868e-05
ZAB30,6.5990665461868e-05
ZAB30,6.5990665461868e-05
SGE1,6.5657302911859e-05
SGE10,6.5657302911859e-05
SGE11,6.5657302911859e-05
SGE12,6.5657302911859e-05
SGE13,6.5657302911859e-05
SGE14,6.5657302911859e-05
SGE15,6.5657302911859e-05
SGE16,6.5657302911859e-05
SGE17,6.5657302911859e-05
SGE18,6.5657302911859e-05
SGE19,6.5657302911859e-05
SGE2,6.5657302911859e-05
SGE20,6.53676470392384e-05
SGE21,6.53676470392384e-05
SGE22,6.5657302911859e-05
SGE23,6.53676470392384e-05
SGE24,6.53676470392384e-05
SGE25,6.53676470392384e-05
SGE26,6.53676470392384e-05
SGE27,6.53676470392384e-05
SGE28,6.53676470392384e-05
SGE29,6.53676470392384e-05
SGE3,6.5657302911859e-05
SGE30,6.53676470392384e-05
SGE4,6.5657302911859e-05
SGE5,6.5657302911859e-05
SGE6,6.5657302911859e-05
SGE7,6.5657302911859e-05
SGE8,6.5657302911859e-05
SGE9,6.5657302911859e-05
SKP1,5.82914180995431e-05
SKP10,5.85716843488626e-05
SKP11,5.85716843488626e-05
SKP12,5.85716843488626e-05
SKP13,5.85716843488626e-05
SKP14,5.85716843488626e-05
SKP15,5.85716843488626e-05
SKP16,5.85716843488626e-05
SKP17,5.85716843488626e-05
SKP18,5.85716843488626e-05
SKP19,5.85716843488626e-05
SKP2,5.85716843488626e-05
SKP20,5.85716843488626e-05
SKP21,5.85716843488626e-05
SKP22,5.85716843488626e-05
SKP23,5.85716843488626e-05
SKP24,5.85716843488626e-05
SKP25,5.85716843488626e-05
SKP26,5.85716843488626e-05
SKP27,5.85716843488626e-05
SKP28,5.85716843488626e-05
SKP29,5.85716843488626e-05
SKP3,5.85716843488626e-05
SKP30,5.85716843488626e-05
SKP31,5.85716843488626e-05
SKP32,5.85716843488626e-05
SKP33,5.85716843488626e-05
SKP34,5.85716843488626e-05
SKP35,5.85716843488626e-05
SKP36,5.85716843488626e-05
SKP37,5.85716843488626e-05
SKP4,5.85716843488626e-05
SKP5,5.85716843488626e-05
SKP6,5.85716843488626e-05
SKP7,5.85716843488626e-05
SKP8,5.85716843488626e-05
SKP9,5.85716843488626e-05
