"","Species"
"1","Atelocynus_microtis"
"2","Baryphthengus_martii"
"3","Buteogallus_schistaceus"
"4","Cabassous_unicinctus"
"5","Canis_lupus"
"6","Cebus_albifrons"
"7","Cebus_yuracus"
"8","Chironectes_minimus"
"9","Coendou_longicaudatus"
"10","Copeoglossum_nigropunctatum"
"11","Crypturellus_soui"
"12","Crypturellus_undulatus"
"13","Cuniculus_paca"
"14","Dasyprocta_fuliginosa"
"15","Dasypus_novemcinctus"
"16","Dicotyles_tajacu"
"17","Didelphis_marsupialis"
"18","Eira_barbara"
"19","Geotrygon_montana"
"20","Hadroscirus_spadiceus"
"21","Hadrosciurus_igniventris"
"22","Hadrosciurus_spadiceus"
"23","Herpailurus_yagouaroundi"
"24","Homo_sapiens"
"25","Hydrochoerus_hydrochaeris"
"26","Leopardus_pardalis"
"27","Leopardus_wiedii"
"28","Leucopternis_melanops"
"29","Mazama_americana"
"30","Mazama_gouazoubira"
"31","Mazama_nemorivaga"
"32","Mazama_sp."
"33","Metachirus_nudicaudatus"
"34","Mitu_salvini"
"35","Myoprocta_pratti"
"36","Myrmecophaga_tridactyla"
"37","Nasua_nasua"
"38","Nothocrax_urumutum"
"39","Panthera_onca"
"40","Penelope_jacquacu"
"41","Philander_andersoni"
"42","Pipile_cumanensis"
"43","Plecturocebus_discolor"
"44","Potos_flavus"
"45","Priodontes_maximus"
"46","Procyon_cancrivorus"
"47","Pseudastur__albicollis"
"48","Psophia_crepitans"
"49","Puma_concolor"
"50","Ramphastos_tucanus"
"51","Saguinus_graellsi"
"52","Saimiri_cassiquiarensis"
"53","Sus_scrofa"
"54","Tamandua_tetradactyla"
"55","Tapirus_terrestris"
"56","Tayassu_pecari"
"57","Tinamu_major"
"58","Tinamus_major"
"59","Tupinambis_cuzcoensis"
