"","Species1","Species2","Occupancy","SE","lower","upper","Community","conditionalLabel","conditional"
"6","Collared peccary","Black agouti",0.810524252959755,0.0439222295247464,0.727410470029865,0.891715426697243,"Zábalo","Black agouti present","Species2 Present"
"7","Collared peccary","Black agouti",0.936703908053653,0.0467809193889135,0.788129109010636,0.975628510116658,"Remolino","Black agouti present","Species2 Present"
"8","Collared peccary","Black agouti",0.608998486972648,0.101333220974099,0.411147243760332,0.806474075304544,"Sinangoe","Black agouti present","Species2 Present"
"9","Collared peccary","Black agouti",0.70050062510962,0.149366414074411,0.390031241879766,0.892414816774429,"San Pablo","Black agouti present","Species2 Present"
"10","Collared peccary","Black agouti",0.769090253046223,0.0813092198541623,0.570065436023883,0.884786385407272,"Siona","Black agouti present","Species2 Present"
"11","Black agouti","Collared peccary",0.764383123982488,0.082077836579322,0.56236397555398,0.86381423389211,"Zábalo","Collared peccary present","Species2 Present"
"12","Black agouti","Collared peccary",0.969055813608897,0.00811772007339426,0.949913590800034,0.978356965190513,"Remolino","Collared peccary present","Species2 Present"
"13","Black agouti","Collared peccary",0.872869111497573,0.0604880656694732,0.679753715421913,0.942069020118811,"Sinangoe","Collared peccary present","Species2 Present"
"14","Black agouti","Collared peccary",0.753248912198031,0.148994705433475,0.41755064412738,0.940249504845444,"San Pablo","Collared peccary present","Species2 Present"
"15","Black agouti","Collared peccary",0.747613097531006,0.0634062468727723,0.605917898502532,0.844365301605049,"Siona","Collared peccary present","Species2 Present"
"61","Collared peccary","Black agouti",0.59023325946736,0.0942413228163227,0.396384962568471,0.746485161625125,"Zábalo","Black agouti absent","Species2 Absent"
"71","Collared peccary","Black agouti",0.64227585837718,0.0892005514145793,0.441753046289476,0.813557044245628,"Remolino","Black agouti absent","Species2 Absent"
"81","Collared peccary","Black agouti",0.355195727378038,0.0989151927725366,0.222789419750828,0.561218965037614,"Sinangoe","Black agouti absent","Species2 Absent"
"91","Collared peccary","Black agouti",0.503802482545335,0.131404519701953,0.24219814779309,0.737226401178042,"San Pablo","Black agouti absent","Species2 Absent"
"101","Collared peccary","Black agouti",0.359896595034903,0.13263006971795,0.198555728653455,0.672445595261133,"Siona","Black agouti absent","Species2 Absent"
"111","Black agouti","Collared peccary",0.522078524590029,0.0803503562475694,0.357887807940176,0.658323015566507,"Zábalo","Collared peccary absent","Species2 Absent"
"121","Black agouti","Collared peccary",0.791641615626784,0.0532351886666913,0.674837093523778,0.877545013637653,"Remolino","Collared peccary absent","Species2 Absent"
"131","Black agouti","Collared peccary",0.708309172718213,0.112125418902693,0.477094460993104,0.886637540976363,"Sinangoe","Collared peccary absent","Species2 Absent"
"141","Black agouti","Collared peccary",0.569924456232198,0.141002798768007,0.315010291359959,0.793980279320733,"San Pablo","Collared peccary absent","Species2 Absent"
"151","Black agouti","Collared peccary",0.333350035818283,0.101822738627188,0.174448346823038,0.551988842531128,"Siona","Collared peccary absent","Species2 Absent"
