Species,K-Means Cluster,PAM Cluster
Atelocynus_microtis,18,7
Baryphthengus_martii,5,23
Buteogallus_schistaceus,9,23
Cabassous_unicinctus,19,21
Canis_lupus,3,19
Cebus_albifrons,6,9
Cebus_yuracus,20,9
Chironectes_minimus,18,20
Coendou_longicaudatus,2,22
Copeoglossum_nigropunctatum,12,0
Crypturellus_soui,1,10
Crypturellus_undulatus,1,11
Cuniculus_paca,15,12
Dasyprocta_fuliginosa,1,13
Dasypus_novemcinctus,8,8
Pecari_tajacu,11,15
Didelphis_marsupialis,0,20
Eira_barbara,13,7
Geotrygon_montana,10,18
Hadrosciurus_igniventris,7,17
Hadrosciurus_spadiceus,7,17
Herpailurus_yagouaroundi,3,19
Homo_sapiens,12,0
Hydrochoerus_hydrochaeris,16,14
Leopardus_pardalis,3,19
Leopardus_wiedii,3,19
Leucopternis_melanops,9,23
Mazama_americana,4,4
Mazama_gouazoubira,4,4
Mazama_nemorivaga,4,4
Mazama_rufina,4,4
Mazama_sp.,4,4
Metachirus_nudicaudatus,0,20
Mitu_salvini,11,16
Myoprocta_pratti,11,14
Myrmecophaga_tridactyla,12,0
Nasua_nasua,21,0
Nothocrax_urumutum,17,6
Panthera_onca,3,19
Penelope_jacquacu,22,9
Philander_andersoni,0,20
Pipile_cumanensis,22,9
Plecturocebus_discolor,6,9
Potos_flavus,2,22
Priodontes_maximus,8,8
Procyon_cancrivorus,13,7
Pseudastur_albicollis,9,23
Psophia_crepitans,1,5
Puma_concolor,3,19
Ramphastos_tucanus,20,9
Saguinus_graellsi,6,9
Saimiri_cassiquiarensis,20,9
Sus_scrofa,23,3
Tamandua_tetradactyla,19,21
Tapirus_terrestris,14,4
Tayassu_pecari,11,3
Tinamus_major,1,2
Tupinambis_cuzcoensis,10,1
