Name,Genus,Species,Order,Family,From Pantheria?,ActivityPeriod,APSource,Seasonality,SeasonSource,BodySizeG,BSSource,Locomotion,LocoSource,FeedingHabit,FHSource,FeedingTechnique,FTSource,Notes
Atelocynus_microtis,Atelocynus,microtis,Carnivora,Canidae,1,Cathemeral,https://animaldiversity.org/,Resident,https://animaldiversity.org/,9500,https://animaldiversity.org/,Terrestrial,https://animaldiversity.org/,Aquatic vertivore,https://animaldiversity.org/,Aquatic surface hunter,https://animaldiversity.org/,
Baryphthengus_martii,Baryphthengus,martii,Coraciiformes,Momotidae,0,,,,,,,,,,,,,
Buteogallus_schistaceus,Buteogallus,schistaceus,Accipitriformes,Accipitridae,0,,,,,,,,,,,,,
Cabassous_unicinctus,Cabassous,unicinctus,Cingulata,Dasypodidae,1,,,,,,,,,,,,,
Canis_lupus,Canis,lupus,Carnivora,Canidae,1,Nocturnal,"Mayani-Parás F, Moreno CE, Escalona-Segura G, Botello F, Munguía-Carrara M, et al. (2023) Classification and distribution of functional groups of birds and mammals in Mexico. PLOS ONE 18(11): e0287036. https://doi.org/10.1371/journal.pone.0287036",Resident,"Mayani-Parás F, Moreno CE, Escalona-Segura G, Botello F, Munguía-Carrara M, et al. (2023) Classification and distribution of functional groups of birds and mammals in Mexico. PLOS ONE 18(11): e0287036. https://doi.org/10.1371/journal.pone.0287036",51500,"Mayani-Parás F, Moreno CE, Escalona-Segura G, Botello F, Munguía-Carrara M, et al. (2023) Classification and distribution of functional groups of birds and mammals in Mexico. PLOS ONE 18(11): e0287036. https://doi.org/10.1371/journal.pone.0287036",Terrestrial,"Mayani-Parás F, Moreno CE, Escalona-Segura G, Botello F, Munguía-Carrara M, et al. (2023) Classification and distribution of functional groups of birds and mammals in Mexico. PLOS ONE 18(11): e0287036. https://doi.org/10.1371/journal.pone.0287036",Carnivore,"Mayani-Parás F, Moreno CE, Escalona-Segura G, Botello F, Munguía-Carrara M, et al. (2023) Classification and distribution of functional groups of birds and mammals in Mexico. PLOS ONE 18(11): e0287036. https://doi.org/10.1371/journal.pone.0287036",Ground hunter,"Mayani-Parás F, Moreno CE, Escalona-Segura G, Botello F, Munguía-Carrara M, et al. (2023) Classification and distribution of functional groups of birds and mammals in Mexico. PLOS ONE 18(11): e0287036. https://doi.org/10.1371/journal.pone.0287036",
Cebus_albifrons,Cebus,albifrons,Primates,Cebidae,1,,,Resident,https://animaldiversity.org/,2200,https://animaldiversity.org/,Arboreal,https://animaldiversity.org/,Frugivore,https://animaldiversity.org/,Arboreal browser,https://animaldiversity.org/,
Cebus_yuracus,Cebus,yuracus,Primates,Cebidae,0,,,,,,,,,,,,,
Chironectes_minimus,Chironectes,minimus,Didelphimorphia,Didelphidae,1,Nocturnal,"Mayani-Parás F, Moreno CE, Escalona-Segura G, Botello F, Munguía-Carrara M, et al. (2023) Classification and distribution of functional groups of birds and mammals in Mexico. PLOS ONE 18(11): e0287036. https://doi.org/10.1371/journal.pone.0287036",Resident,"Mayani-Parás F, Moreno CE, Escalona-Segura G, Botello F, Munguía-Carrara M, et al. (2023) Classification and distribution of functional groups of birds and mammals in Mexico. PLOS ONE 18(11): e0287036. https://doi.org/10.1371/journal.pone.0287036",289,"Mayani-Parás F, Moreno CE, Escalona-Segura G, Botello F, Munguía-Carrara M, et al. (2023) Classification and distribution of functional groups of birds and mammals in Mexico. PLOS ONE 18(11): e0287036. https://doi.org/10.1371/journal.pone.0287036",Terrestrial,"Mayani-Parás F, Moreno CE, Escalona-Segura G, Botello F, Munguía-Carrara M, et al. (2023) Classification and distribution of functional groups of birds and mammals in Mexico. PLOS ONE 18(11): e0287036. https://doi.org/10.1371/journal.pone.0287036",Aquatic vertivore,"Mayani-Parás F, Moreno CE, Escalona-Segura G, Botello F, Munguía-Carrara M, et al. (2023) Classification and distribution of functional groups of birds and mammals in Mexico. PLOS ONE 18(11): e0287036. https://doi.org/10.1371/journal.pone.0287036",Aquatic surface hunter,"Mayani-Parás F, Moreno CE, Escalona-Segura G, Botello F, Munguía-Carrara M, et al. (2023) Classification and distribution of functional groups of birds and mammals in Mexico. PLOS ONE 18(11): e0287036. https://doi.org/10.1371/journal.pone.0287036",
Coendou_longicaudatus,Coendou,longicaudatus,,,0,,,,,,,,,,,,,
Copeoglossum_nigropunctatum,Copeoglossum,nigropunctatum,,,0,,,,,,,,,,,,,
Crypturellus_soui,Crypturellus,soui,Tinamiformes,Tinamidae,0,Diurnal,"Mayani-Parás F, Moreno CE, Escalona-Segura G, Botello F, Munguía-Carrara M, et al. (2023) Classification and distribution of functional groups of birds and mammals in Mexico. PLOS ONE 18(11): e0287036. https://doi.org/10.1371/journal.pone.0287036",Resident,"Mayani-Parás F, Moreno CE, Escalona-Segura G, Botello F, Munguía-Carrara M, et al. (2023) Classification and distribution of functional groups of birds and mammals in Mexico. PLOS ONE 18(11): e0287036. https://doi.org/10.1371/journal.pone.0287036",209,"Mayani-Parás F, Moreno CE, Escalona-Segura G, Botello F, Munguía-Carrara M, et al. (2023) Classification and distribution of functional groups of birds and mammals in Mexico. PLOS ONE 18(11): e0287036. https://doi.org/10.1371/journal.pone.0287036",Terrestrial,"Mayani-Parás F, Moreno CE, Escalona-Segura G, Botello F, Munguía-Carrara M, et al. (2023) Classification and distribution of functional groups of birds and mammals in Mexico. PLOS ONE 18(11): e0287036. https://doi.org/10.1371/journal.pone.0287036",Frugivore,"Mayani-Parás F, Moreno CE, Escalona-Segura G, Botello F, Munguía-Carrara M, et al. (2023) Classification and distribution of functional groups of birds and mammals in Mexico. PLOS ONE 18(11): e0287036. https://doi.org/10.1371/journal.pone.0287036",Ground browser,"Mayani-Parás F, Moreno CE, Escalona-Segura G, Botello F, Munguía-Carrara M, et al. (2023) Classification and distribution of functional groups of birds and mammals in Mexico. PLOS ONE 18(11): e0287036. https://doi.org/10.1371/journal.pone.0287036",
Crypturellus_undulatus,Crypturellus,undulatus,Tinamiformes,Tinamidae,0,,,,,,,,,,,,,
