Station,Camera,gps_y,gps_x,Setup_date,Retrieval_date,Problem1_from,Problem1_to,Obs,Community
SGE1,SGE1,0.098522,-77.400573,8/6/22,12/1/22,11/19/22,12/1/22,No funciona al retirar,4466.49211
SGE10,SGE10,0.092618,-77.462402,8/6/22,11/30/22,,,,4846.945162
SGE11,SGE11,0.035216,-77.424898,8/8/22,12/1/22,,,,9871.168389
SGE12,SGE12,0.133207,-77.449472,8/7/22,11/30/22,,,,2224.843547
SGE13,SGE13,0.118916,-77.464612,8/7/22,11/30/22,,,,3681.016451
SGE14,SGE14,0.10723,-77.47791,8/7/22,11/30/22,,,,5439.023507
SGE15,SGE15,0.14866,-77.460674,8/7/22,11/29/22,,,,4237.934623
SGE16,SGE16,0.135232,-77.475584,8/7/22,11/29/22,,,,5027.932549
SGE17,SGE17,0.125354,-77.494292,8/7/22,11/29/22,,,,6431.145415
SGE18,SGE18,0.165074,-77.471737,8/7/22,12/1/22,,,,2896.588871
SGE19,SGE19,0.154599,-77.489609,8/7/22,11/29/22,,,,3167.722889
SGE2,SGE2,0.085779,-77.415687,8/6/22,11/24/22,8/6/22,11/24/22,Robada,4585.661131
SGE20,SGE20,0.142295,-77.500417,8/5/22,11/29/22,,,,4664.382868
SGE21,SGE21,0.14781,-77.517342,8/8/22,11/29/22,,,,4922.847214
SGE22,SGE22,0.176118,-77.493863,8/5/22,11/29/22,,,,855.4125804
SGE23,SGE23,0.159729,-77.50468,8/5/22,11/29/22,,,No funciona al retirar,3032.817563
SGE24,SGE24,0.185664,-77.503586,8/2/22,11/28/22,11/22/22,11/28/22,,1475.693815
SGE25,SGE25,0.173697,-77.519313,8/5/22,11/28/22,,,,3361.674871
SGE26,SGE26,0.159551,-77.533424,8/5/22,11/28/22,,,,5435.586356
SGE27,SGE27,0.199143,-77.508259,8/4/22,11/28/22,10/31/22,11/28/22,No funciona al retirar,2657.528482
SGE28,SGE28,0.195626,-77.525645,8/4/22,11/28/22,,,,4142.428531
SGE29,SGE29,0.221652,-77.5172,8/4/22,11/28/22,,,,5212.705118
SGE3,SGE3,0.085066,-77.444334,8/10/22,12/1/22,,,,4516.074521
SGE30,SGE30,0.221511,-77.536142,8/4/22,11/28/22,,,,6629.302682
SGE4,SGE4,0.076542,-77.430379,8/6/22,12/1/22,,,,5248.113762
SGE5,SGE5,0.110194,-77.417214,8/6/22,11/30/22,,,,2216.343135
SGE6,SGE6,0.097659,-77.432182,8/6/22,11/30/22,,,,2897.655005
SGE7,SGE7,0.034581,-77.439202,8/8/22,11/30/22,,,,9944.982439
SGE8,SGE8,0.120646,-77.434462,8/3/22,11/30/22,,,,447.6690383
SGE9,SGE9,0.106699,-77.4491,8/6/22,11/30/22,,,,2693.771271
