Station,Camera,gps_y,gps_x,Setup_date,Retrieval_date
SGE1,78,0.098522,-77.400573,6/8/2022,19/12/2022
SGE10,87,0.092618,-77.462402,6/8/2022,30/11/2022
SGE11,88,0.035216,-77.424898,8/8/2022,1/12/2022
SGE12,89,0.133207,-77.449472,7/8/2022,30/11/2022
SGE13,90,0.118916,-77.464612,7/8/2022,30/11/2022
SGE14,91,0.10723,-77.47791,7/8/2022,30/11/2022
SGE15,92,0.14866,-77.460674,7/8/2022,29/11/2022
SGE16,93,0.135232,-77.475584,7/8/2022,29/11/2022
SGE17,94,0.125354,-77.494292,7/8/2022,29/11/2022
SGE18,95,0.165074,-77.471737,7/8/2022,1/12/2022
SGE19,96,0.154599,-77.489609,7/8/2022,29/11/2022
SGE20,97,0.142295,-77.500417,5/8/2022,29/11/2022
SGE21,98,0.14781,-77.517342,8/8/2022,29/11/2022
SGE22,99,0.176118,-77.493863,5/8/2022,29/11/2022
SGE23,100,0.159729,-77.50468,5/8/2022,29/11/2022
SGE24,101,0.185664,-77.503586,5/8/2022,28/11/2022
SGE25,102,0.173697,-77.519313,5/8/2022,28/11/2022
SGE26,103,0.159551,-77.533424,5/8/2022,28/11/2022
SGE27,104,0.199143,-77.508259,4/8/2022,28/11/2022
SGE28,105,0.195626,-77.525645,4/8/2022,28/11/2022
SGE29,106,0.221652,-77.5172,4/8/2022,28/11/2022
SGE3,80,0.085066,-77.444334,10/8/2022,1/12/2022
SGE30,107,0.221511,-77.536142,4/8/2022,28/11/2022
SGE4,81,0.076542,-77.430379,6/8/2022,1/12/2022
SGE5,82,0.110194,-77.417214,6/8/2022,30/11/2022
SGE6,83,0.097659,-77.432182,6/8/2022,30/11/2022
SGE7,84,0.034581,-77.439202,8/8/2022,30/11/2022
SGE8,85,0.120646,-77.434462,3/8/2022,30/11/2022
SGE9,86,0.106699,-77.4491,6/8/2022,30/11/2022
