Station,Camera,gps_y,gps_x,Setup_date,Retrieval_date,Problem1_from,Problem1_to,Problem2_from,Problem2_to,Total,
SNA1,29,-0.234411,-76.434046,28/7/2022,24/11/2022,,,,,0,
SNA10,13,-0.192764,-76.4395,29/7/2022,25/11/2022,,,,,0,
SNA11,14,-0.174809,-76.446991,29/7/2022,25/11/2022,,,,,0,
SNA12,15,-0.188111,-76.460998,30/7/2022,25/11/2022,,,,,0,
SNA13,16,-0.198657,-76.475564,30/7/2022,23/11/2022,,,,,0,
SNA14,17,-0.217694,-76.496117,27/7/2022,23/11/2022,,,,,0,
SNA15,18,-0.234637,-76.485666,28/7/2022,23/11/2022,,,,,0,
SNA16,19,-0.232867,-76.506877,27/7/2022,23/11/2022,,,,,0,
SNA17,33,-0.19788,-76.495183,28/7/2022,24/11/2022,,,,,0,
SNA18,21,-0.20534,-76.513813,28/7/2022,23/11/2022,,,,,0,
SNA19,22,-0.220377,-76.525161,27/7/2022,23/11/2022,,,,,0,
SNA2,31,-0.249522,-76.451389,27/7/2022,24/11/2022,,,,,0,
SNA20,23,-0.217666,-76.544024,31/7/2022,24/11/2022,18/11/2022,24/11/2022,,,6,
SNA21,24,-0.199393,-76.533493,28/7/2022,24/11/2022,,,,,0,
SNA22,25,-0.179847,-76.488493,30/7/2022,25/11/2022,,,,,0,
SNA23,26,-0.162641,-76.471243,30/7/2022,25/11/2022,30/7/2022,25/8/2022,,,26,
SNA3,32,-0.264434,-76.464566,27/7/2022,24/11/2022,,,,,0,
SNA4,7,-0.218803,-76.419426,29/7/2022,25/11/2022,23/8/2022,20/9/2022,6/10/2022,3/11/2022,94,
SNA5,8,-0.243805,-76.468671,27/7/2022,23/11/2022,19/11/2022,23/11/2022,,,4,No funciona al momento de retirar
SNA6,9,-0.254082,-76.485219,27/7/2022,23/11/2022,,,,,0,
SNA7,10,-0.225292,-76.453422,28/7/2022,23/11/2022,12/10/2022,23/11/2022,,,42,No funciona al momento de retirar
SNA8,11,-0.212999,-76.438241,30/7/2022,24/11/2022,,,,,0,
SNA9,12,-0.198732,-76.423502,29/7/2022,25/11/2022,,,,,0,
