Survey Name,Site ID,Site Name,Site Area (km2),Number of Trap Stations,Nights Elapsed,Number of Species,Period Start,Period End
Siona,1,SNA1,-,1,119,1,2022-07-28,2022-11-24
Siona,2,SNA2,-,1,89,5,2022-07-27,2022-10-24
Siona,3,SNA3,-,1,49,0,2022-07-27,2022-09-14
Siona,4,SNA4,-,1,119,0,2022-07-29,2022-11-25
Siona,5,SNA5,-,1,115,7,2022-07-27,2022-11-19
Siona,6,SNA6,-,1,119,2,2022-07-27,2022-11-23
Siona,7,SNA7,-,1,118,0,2022-07-28,2022-11-23
Siona,8,SNA8,-,1,117,11,2022-07-30,2022-11-24
Siona,9,SNA9,-,1,119,18,2022-07-29,2022-11-25
Siona,10,SNA10,-,1,119,7,2022-07-29,2022-11-25
Siona,11,SNA11,-,1,119,3,2022-07-29,2022-11-25
Siona,12,SNA12,-,1,118,22,2022-07-30,2022-11-25
Siona,13,SNA13,-,1,116,7,2022-07-30,2022-11-23
Siona,14,SNA14,-,1,119,16,2022-07-27,2022-11-23
Siona,15,SNA15,-,1,118,1,2022-07-28,2022-11-23
Siona,16,SNA16,-,1,119,21,2022-07-27,2022-11-23
Siona,17,SNA17,-,1,119,12,2021-07-28,2021-11-24
Siona,18,SNA18,-,1,118,17,2022-07-28,2022-11-23
Siona,19,SNA19,-,1,119,13,2022-07-27,2022-11-23
Siona,20,SNA20,-,1,116,0,2022-07-31,2022-11-24
Siona,21,SNA21,-,1,119,7,2022-07-28,2022-11-24
Siona,22,SNA22,-,1,118,11,2022-07-30,2022-11-25
Siona,23,SNA23,-,1,118,0,2022-07-30,2022-11-25
