Survey Name,Genus,Species,Number of Trap Stations,Number of Photos,Independent Observations,Nocturnal (%),Nights Elapsed,Abundance Index
Siona,Buteogallus,schistaceus,5,24,6,"0,00",2619,"0,229"
Siona,Cabassous,unicinctus,3,10,3,"100,00",2619,"0,115"
Siona,Canis,lupus,4,8,5,"0,00",2619,"0,191"
Siona,Cebus,yuracus,9,37,14,"0,00",2619,"0,535"
Siona,Copeoglossum,nigropunctatum,1,4,1,"0,00",2619,"0,038"
Siona,Crypturellus,soui,4,19,5,"0,00",2619,"0,191"
Siona,Cuniculus,paca,8,133,41,"97,56",2619,"1,565"
Siona,Dasyprocta,fuliginosa,12,1010,272,"4,04",2619,"10,386"
Siona,Dasypus,novemcinctus,11,165,49,"100,00",2619,"1,871"
Siona,Dicotyles,tajacu,11,127,47,"2,13",2619,"1,795"
Siona,Didelphis,marsupialis,10,189,52,"90,38",2619,"1,985"
Siona,Geotrygon,montana,3,66,19,"0,00",2619,"0,725"
Siona,Herpailurus,yagouaroundi,1,4,1,"0,00",2619,"0,038"
Siona,Homo,sapiens,1,4,2,"0,00",2619,"0,076"
Siona,Leopardus,pardalis,6,42,10,"70,00",2619,"0,382"
Siona,Mazama,americana,15,337,96,"65,63",2619,"3,666"
Siona,Mazama,nemorivaga,1,29,8,"0,00",2619,"0,305"
Siona,Mazama,sp.,2,6,2,"50,00",2619,"0,076"
Siona,Metachirus,nudicaudatus,5,34,11,"100,00",2619,"0,420"
Siona,Myoprocta,pratti,1,13,3,"0,00",2619,"0,115"
Siona,Myrmecophaga,tridactyla,2,12,3,"0,00",2619,"0,115"
Siona,N/D,N/D,9,86,31,"58,06",2619,"1,184"
Siona,Nasua,nasua,10,95,64,"0,00",2619,"2,444"
Siona,Panthera,onca,1,4,1,"0,00",2619,"0,038"
Siona,Penelope,jacquacu,6,119,34,"0,00",2619,"1,298"
Siona,Philander,andersoni,1,4,1,"100,00",2619,"0,038"
Siona,Procyon,cancrivorus,5,23,10,"100,00",2619,"0,382"
Siona,Psophia,crepitans,4,46,20,"0,00",2619,"0,764"
Siona,Puma,concolor,2,10,3,"0,00",2619,"0,115"
Siona,Saimiri,cassiquiarensis,4,22,11,"0,00",2619,"0,420"
Siona,Sus,scrofa,3,13,3,"0,00",2619,"0,115"
Siona,Tamandua,tetradactyla,7,48,14,"57,14",2619,"0,535"
Siona,Tapirus,terrestris,3,28,8,"75,00",2619,"0,305"
Siona,Tinamus,major,10,161,43,"9,30",2619,"1,642"
Siona,Tupinambis,cuzcoensis,1,8,2,"0,00",2619,"0,076"
