"","Station","Camera","Species","DateTimeOriginal","Date","Time"
"1",11,"11B","Tayassu pecari",2018-07-03 16:54:54,2018-07-03,"16:54:54"
"2",6,"6A","Cuniculus paca",2018-07-04 19:08:46,2018-07-04,"19:08:46"
"3",4,"4B","Mazama gouazoubira",2018-07-04 19:49:36,2018-07-04,"19:49:36"
"4",12,"12B","Dasypus novemcinctus",2018-07-04 22:51:27,2018-07-04,"22:51:27"
"5",6,"6A","Cuniculus paca",2018-07-04 23:45:33,2018-07-04,"23:45:33"
"6",13,"13A","NAN NAN",2018-07-05 00:26:24,2018-07-05,"0:26:24"
"7",4,"4A","Tapirus terrestris",2018-07-05 04:37:33,2018-07-05,"4:37:33"
"8",4,"4B","Mazama gouazoubira",2018-07-05 04:37:45,2018-07-05,"4:37:45"
"9",4,"4B","Mitu salvini",2018-07-05 06:33:52,2018-07-05,"6:33:52"
"10",13,"13A","Psophia crepitans",2018-07-05 10:40:29,2018-07-05,"10:40:29"
"11",4,"4B","Tayassu pecari",2018-07-05 11:09:04,2018-07-05,"11:09:04"
"12",13,"13A","Dasyprocta fuliginosa",2018-07-05 16:34:14,2018-07-05,"16:34:14"
"13",6,"6A","Cuniculus paca",2018-07-05 19:14:55,2018-07-05,"19:14:55"
"14",8,"8A","Cuniculus paca",2018-07-05 19:55:12,2018-07-05,"19:55:12"
"15",6,"6A","Cuniculus paca",2018-07-05 20:21:45,2018-07-05,"20:21:45"
"16",6,"6A","Cuniculus paca",2018-07-05 20:55:08,2018-07-05,"20:55:08"
"17",6,"6A","Cuniculus paca",2018-07-05 22:05:01,2018-07-05,"22:05:01"
"18",6,"6A","Cuniculus paca",2018-07-05 22:56:04,2018-07-05,"22:56:04"
"19",6,"6A","Cuniculus paca",2018-07-05 23:38:35,2018-07-05,"23:38:35"
"20",6,"6A","Atelocynus microtis",2018-07-06 05:31:31,2018-07-06,"5:31:31"
"21",4,"4B","Mazama americana",2018-07-06 07:49:13,2018-07-06,"7:49:13"
"22",13,"13A","Psophia crepitans",2018-07-06 08:23:21,2018-07-06,"8:23:21"
"23",8,"8B","Mazama gouazoubira",2018-07-06 17:09:31,2018-07-06,"17:09:31"
"24",28,"28A","Myrmecophaga tridactyla",2018-07-06 18:16:31,2018-07-06,"18:16:31"
"25",11,"11A","Tayassu pecari",2018-07-06 18:59:09,2018-07-06,"18:59:09"
"26",29,"29A","Nasua nasua",2018-07-06 19:48:41,2018-07-06,"19:48:41"
"27",6,"6A","Cuniculus paca",2018-07-06 20:22:40,2018-07-06,"20:22:40"
"28",6,"6A","Cuniculus paca",2018-07-06 22:09:21,2018-07-06,"22:09:21"
"29",17,"17A","Mazama americana",2018-07-06 22:44:00,2018-07-06,"22:44:00"
"30",6,"6A","Cuniculus paca",2018-07-06 23:21:35,2018-07-06,"23:21:35"
"31",8,"8A","Cuniculus paca",2018-07-06 23:54:18,2018-07-06,"23:54:18"
"32",22,"22A","Tapirus terrestris",2018-07-07 01:24:05,2018-07-07,"1:24:05"
"33",22,"22B","Mazama gouazoubira",2018-07-07 01:24:29,2018-07-07,"1:24:29"
"34",21,"21A","Mazama gouazoubira",2018-07-07 02:32:24,2018-07-07,"2:32:24"
"35",8,"8A","Cuniculus paca",2018-07-07 03:22:40,2018-07-07,"3:22:40"
"36",26,"26A","Cuniculus paca",2018-07-07 03:24:07,2018-07-07,"3:24:07"
