"","CommunityName","Station","Camera","gps_y","gps_x","Setup_date","Retrieval_date","Problem1_from","Problem1_to","Total"
"106","Remolino","SKP1","SKP75",-0.307,-76.242,"2022-07-14","2022-11-22","2022-07-30","2022-09-20",52
"107","Remolino","SKP10","SKP35",-0.373,-76.275,"2022-07-16","2022-11-19","2022-08-09","2022-11-19",102
"108","Remolino","SKP11","SKP36",-0.303,-76.303,"2022-07-18","2022-11-16","2022-08-01","2022-11-06",97
"109","Remolino","SKP12","SKP37",-0.321,-76.301,"2022-07-18","2022-11-16",NA,NA,0
"110","Remolino","SKP13","SKP38",-0.342,-76.297,"2022-07-18","2022-11-16","2022-08-07","2022-11-16",101
"111","Remolino","SKP14","SKP39",-0.313,-76.32,"2022-07-16","2022-11-17","2022-08-09","2022-09-28",50
"112","Remolino","SKP15","SKP40",-0.373,-76.294,"2022-07-16","2022-11-19","2022-08-11","2022-11-19",100
"113","Remolino","SKP16","SKP41",-0.316,-76.342,"2022-07-14","2022-11-16",NA,NA,0
"114","Remolino","SKP17","SKP42",-0.336,-76.339,"2022-07-18","2022-11-17",NA,NA,0
"115","Remolino","SKP18","SKP43",-0.351,-76.328,"2022-07-18","2022-11-17","2022-10-16","2022-11-17",32
"116","Remolino","SKP19","SKP44",-0.317,-76.361,"2022-07-14","2022-11-16",NA,NA,0
"117","Remolino","SKP2","SKP45",-0.298839,-76.265275,"2022-07-20","2022-11-24","2022-08-18","2022-11-24",98
"118","Remolino","SKP20","SKP46",-0.32,-76.387,"2022-07-14","2022-11-16","2022-10-19","2022-11-16",28
"119","Remolino","SKP21","SKP47",-0.347,-76.404,"2022-07-19","2022-11-17",NA,NA,0
"120","Remolino","SKP22","SKP48",-0.347,-76.387,"2022-07-19","2022-11-17",NA,NA,0
"121","Remolino","SKP23","SKP49",-0.363,-76.406,"2022-07-19","2022-11-17",NA,NA,0
"122","Remolino","SKP24","SKP50",-0.362,-76.378,"2022-07-19","2022-11-17",NA,NA,0
"123","Remolino","SKP25","SKP51",-0.384,-76.4,"2022-07-15","2022-11-18","2022-07-15","2022-11-18",126
"124","Remolino","SKP26","SKP52",-0.385,-76.38,"2022-07-15","2022-11-18",NA,NA,0
"125","Remolino","SKP27","SKP53",-0.389,-76.356,"2022-07-17","2022-11-20",NA,NA,0
"126","Remolino","SKP28","SKP54",-0.396,-76.29,"2022-07-17","2022-11-20",NA,NA,0
"127","Remolino","SKP29","SKP55",-0.397,-76.273,"2022-07-17","2022-11-19",NA,NA,0
"128","Remolino","SKP3","SKP57",-0.319,-76.26,"2022-07-14","2022-11-21","2022-08-08","2022-11-21",105
"129","Remolino","SKP30","SKP58",-0.389,-76.253,"2022-07-17","2022-11-19","2022-07-17","2022-11-19",125
"137","Remolino","SKP4","SKP66",-0.343,-76.255,"2022-07-16","2022-11-21","2022-08-06","2022-11-21",107
"138","Remolino","SKP5","SKP67",-0.365,-76.255,"2022-07-16","2022-11-19","2022-08-08","2022-11-19",103
"139","Remolino","SKP6","SKP68",-0.298,-76.285,"2022-07-14","2022-11-17",NA,NA,0
"140","Remolino","SKP7","SKP69",-0.316,-76.281,"2022-07-14","2022-11-17",NA,NA,0
"141","Remolino","SKP8","SKP70",-0.336,-76.277,"2022-07-14","2022-11-17",NA,NA,0
"142","Remolino","SKP9","SKP77",-0.354128,-76.27821,"2022-07-25","2022-11-14","2022-09-05","2022-11-14",70
