Survey Name,Genus,Species,Number of Trap Stations,Number of Photos,Independent Observations,Nocturnal (%),Nights Elapsed,Abundance Index
Cofan-Sinangoe,Atelocynus,microtis,0,0,0,-,3395,"0,000"
Cofan-Sinangoe,Baryphthengus,martii,1,8,2,"0,00",3395,"0,059"
Cofan-Sinangoe,Buteogallus,schistaceus,1,1,1,"0,00",3395,"0,029"
Cofan-Sinangoe,Cabassous,unicinctus,3,7,3,"100,00",3395,"0,088"
Cofan-Sinangoe,Canis,lupus,3,6,5,"0,00",3395,"0,147"
Cofan-Sinangoe,Cebus,yuracus,2,7,2,"0,00",3395,"0,059"
Cofan-Sinangoe,Chironectes,minimus,1,2,1,"100,00",3395,"0,029"
Cofan-Sinangoe,Coendou,longicaudatus,0,0,0,-,3395,"0,000"
Cofan-Sinangoe,Copeoglossum,nigropunctatum,0,0,0,-,3395,"0,000"
Cofan-Sinangoe,Crypturellus,soui,0,0,0,-,3395,"0,000"
Cofan-Sinangoe,Cuniculus,paca,22,640,182,"98,35",3395,"5,361"
Cofan-Sinangoe,Dasyprocta,fuliginosa,24,1148,326,"5,52",3395,"9,602"
Cofan-Sinangoe,Dasypus,novemcinctus,21,499,136,"99,26",3395,"4,006"
Cofan-Sinangoe,Dicotyles,tajacu,14,183,74,"10,81",3395,"2,180"
Cofan-Sinangoe,Didelphis,marsupialis,13,309,108,"97,22",3395,"3,181"
Cofan-Sinangoe,Eira,barbara,14,72,25,"4,00",3395,"0,736"
Cofan-Sinangoe,Geotrygon,montana,16,493,143,"13,29",3395,"4,212"
Cofan-Sinangoe,Hadrosciurus,igniventris,8,80,28,"0,00",3395,"0,825"
Cofan-Sinangoe,Hadrosciurus,spadiceus,11,106,39,"0,00",3395,"1,149"
Cofan-Sinangoe,Herpailurus,yagouaroundi,2,5,2,"0,00",3395,"0,059"
Cofan-Sinangoe,Homo,sapiens,0,0,0,-,3395,"0,000"
Cofan-Sinangoe,Hydrochoerus,hydrochaeris,0,0,0,-,3395,"0,000"
Cofan-Sinangoe,Leopardus,pardalis,14,121,36,"69,44",3395,"1,060"
Cofan-Sinangoe,Leopardus,wiedii,1,8,2,"100,00",3395,"0,059"
Cofan-Sinangoe,Mazama,americana,25,566,160,"61,87",3395,"4,713"
Cofan-Sinangoe,Mazama,nemorivaga,0,0,0,-,3395,"0,000"
Cofan-Sinangoe,Mazama,sp.,0,0,0,-,3395,"0,000"
Cofan-Sinangoe,Metachirus,nudicaudatus,14,1177,389,"99,74",3395,"11,458"
Cofan-Sinangoe,Mitu,salvini,7,111,29,"0,00",3395,"0,854"
Cofan-Sinangoe,Myoprocta,pratti,4,59,20,"10,00",3395,"0,589"
Cofan-Sinangoe,Myrmecophaga,tridactyla,0,0,0,-,3395,"0,000"
Cofan-Sinangoe,N/D,N/D,20,2682,908,"93,94",3395,"26,745"
Cofan-Sinangoe,Nasua,nasua,18,195,94,"3,19",3395,"2,769"
Cofan-Sinangoe,Nothocrax,urumutum,14,213,69,"5,80",3395,"2,032"
Cofan-Sinangoe,Panthera,onca,9,44,15,"40,00",3395,"0,442"
Cofan-Sinangoe,Penelope,jacquacu,13,65,19,"0,00",3395,"0,560"
Cofan-Sinangoe,Philander,andersoni,12,379,139,"100,00",3395,"4,094"
Cofan-Sinangoe,Pipile,cumanensis,2,11,3,"0,00",3395,"0,088"
Cofan-Sinangoe,Plecturocebus,discolor,0,0,0,-,3395,"0,000"
Cofan-Sinangoe,Potos,flavus,1,4,1,"100,00",3395,"0,029"
Cofan-Sinangoe,Priodontes,maximus,4,14,6,"100,00",3395,"0,177"
Cofan-Sinangoe,Procyon,cancrivorus,1,7,4,"75,00",3395,"0,118"
Cofan-Sinangoe,Pseudastur ,albicollis,1,4,1,"0,00",3395,"0,029"
Cofan-Sinangoe,Psophia,crepitans,15,416,159,"0,00",3395,"4,683"
Cofan-Sinangoe,Puma,concolor,5,26,8,"50,00",3395,"0,236"
Cofan-Sinangoe,Ramphastos,tucanus,0,0,0,-,3395,"0,000"
Cofan-Sinangoe,Saimiri,cassiquiarensis,1,3,1,"0,00",3395,"0,029"
Cofan-Sinangoe,Sus,scrofa,0,0,0,-,3395,"0,000"
Cofan-Sinangoe,Tamandua,tetradactyla,3,9,3,"100,00",3395,"0,088"
Cofan-Sinangoe,Tapirus,terrestris,4,28,8,"62,50",3395,"0,236"
Cofan-Sinangoe,Tayassu,pecari,0,0,0,-,3395,"0,000"
Cofan-Sinangoe,Tinamus,major,16,432,114,"5,26",3395,"3,358"
Cofan-Sinangoe,Tupinambis,cuzcoensis,0,0,0,-,3395,"0,000"
