Survey Name,Site ID,Site Name,Site Area (km2),Number of Trap Stations,Nights Elapsed,Number of Species,Period Start,Period End
Siekopai,6,SKP6,-,1,126,16,14/7/2022,17/11/2022
Siekopai,24,SKP1,-,2,261,10,14/7/2022,22/11/2022
Siekopai,25,SKP2,-,1,127,12,20/7/2022,24/11/2022
Siekopai,26,SKP3,-,1,130,4,14/7/2022,21/11/2022
Siekopai,27,SKP4,-,1,128,7,16/7/2022,21/11/2022
Siekopai,28,SKP5,-,1,126,10,16/7/2022,19/11/2022
Siekopai,30,SKP7,-,1,126,13,14/7/2022,17/11/2022
Siekopai,31,SKP8,-,1,126,17,14/7/2022,17/11/2022
Siekopai,33,SKP10,-,1,126,8,16/7/2022,19/11/2022
Siekopai,34,SKP11,-,1,121,9,18/7/2022,16/11/2022
Siekopai,35,SKP12,-,1,121,9,18/7/2022,16/11/2022
Siekopai,36,SKP13,-,1,121,8,18/7/2022,16/11/2022
Siekopai,37,SKP14,-,1,124,8,16/7/2022,17/11/2022
Siekopai,38,SKP15,-,1,124,9,18/7/2022,19/11/2022
Siekopai,39,SKP16,-,1,124,22,14/7/2022,15/11/2022
Siekopai,40,SKP17,-,1,122,17,18/7/2022,17/11/2022
Siekopai,41,SKP18,-,1,122,13,18/7/2022,17/11/2022
Siekopai,42,SKP19,-,1,128,18,14/7/2022,19/11/2022
Siekopai,43,SKP20,-,1,125,17,14/7/2022,16/11/2022
Siekopai,44,SKP21,-,1,121,17,19/7/2022,17/11/2022
Siekopai,45,SKP22,-,1,121,14,19/7/2022,17/11/2022
Siekopai,46,SKP23,-,1,121,16,19/7/2022,17/11/2022
Siekopai,47,SKP24,-,1,121,15,19/7/2022,17/11/2022
Siekopai,48,SKP25,-,1,0,0,15/7/2022,18/11/2022
Siekopai,49,SKP26,-,1,126,15,15/7/2022,18/11/2022
Siekopai,50,SKP27,-,1,126,9,17/7/2022,20/11/2022
Siekopai,51,SKP28,-,1,126,20,17/7/2022,20/11/2022
Siekopai,52,SKP29,-,1,125,21,17/7/2022,19/11/2022
Siekopai,53,SKP30,-,1,0,0,17/7/2022,19/11/2022
Siekopai,54,SKP31,-,1,121,9,17/7/2022,15/11/2022
Siekopai,55,SKP32,-,1,122,10,17/7/2022,16/11/2022
Siekopai,56,SKP33,-,1,122,4,21/7/2022,20/11/2022
Siekopai,57,SKP34,-,1,117,11,21/7/2022,15/11/2022
Siekopai,58,SKP35,-,1,118,12,21/7/2022,16/11/2022
Siekopai,59,SKP36,-,1,0,0,21/7/2022,16/11/2022
Siekopai,60,SKP37,-,1,118,12,21/7/2022,16/11/2022
Siekopai,61,SKP9,-,1,112,5,25/7/2022,14/11/2022
