Survey Name,Genus,Species,Number of Trap Stations,Number of Photos,Independent Observations,Nocturnal (%),Nights Elapsed,Abundance Index
Siekopai,Atelocynus,microtis,3,20,7,"0,00",4374,"0,160"
Siekopai,Buteogallus,schistaceus,8,39,9,"11,11",4374,"0,206"
Siekopai,Cabassous,unicinctus,0,0,0,-,4374,"0,000"
Siekopai,Canis,lupus,3,18,7,"0,00",4374,"0,160"
Siekopai,Cebus,yuracus,10,64,20,"0,00",4374,"0,457"
Siekopai,Coendou,longicaudatus,1,3,1,"100,00",4374,"0,023"
Siekopai,Copeoglossum,nigropunctatum,0,0,0,-,4374,"0,000"
Siekopai,Crypturellus,soui,9,42,11,"9,09",4374,"0,251"
Siekopai,Cuniculus,paca,28,892,301,"93,02",4374,"6,882"
Siekopai,Dasyprocta,fuliginosa,33,4984,1534,"5,28",4374,"35,071"
Siekopai,Dasypus,novemcinctus,24,360,119,"99,16",4374,"2,721"
Siekopai,Dicotyles,tajacu,30,458,154,"12,34",4374,"3,521"
Siekopai,Didelphis,marsupialis,8,142,51,"100,00",4374,"1,166"
Siekopai,Eira,barbara,11,39,16,"6,25",4374,"0,366"
Siekopai,Geotrygon,montana,4,26,11,"0,00",4374,"0,251"
Siekopai,Hadrosciurus,spadiceus,2,28,11,"0,00",4374,"0,251"
Siekopai,Herpailurus,yagouaroundi,2,6,2,"0,00",4374,"0,046"
Siekopai,Homo,sapiens,0,0,0,-,4374,"0,000"
Siekopai,Hydrochoerus,hydrochaeris,3,18,6,"83,33",4374,"0,137"
Siekopai,Leopardus,pardalis,12,102,38,"71,05",4374,"0,869"
Siekopai,Leopardus,wiedii,1,3,1,"100,00",4374,"0,023"
Siekopai,Mazama,americana,30,1097,359,"67,13",4374,"8,208"
Siekopai,Mazama,nemorivaga,14,306,101,"2,97",4374,"2,309"
Siekopai,Mazama,sp.,6,39,15,"33,33",4374,"0,343"
Siekopai,Metachirus,nudicaudatus,1,6,3,"100,00",4374,"0,069"
Siekopai,Mitu,salvini,10,114,41,"0,00",4374,"0,937"
Siekopai,Myoprocta,pratti,12,234,81,"39,51",4374,"1,852"
Siekopai,Myrmecophaga,tridactyla,8,33,12,"0,00",4374,"0,274"
Siekopai,N/D,N/D,15,132,56,"46,43",4374,"1,280"
Siekopai,Nasua,nasua,11,59,53,"7,55",4374,"1,212"
Siekopai,Nothocrax,urumutum,5,33,11,"0,00",4374,"0,251"
Siekopai,Panthera,onca,5,23,9,"66,67",4374,"0,206"
Siekopai,Penelope,jacquacu,11,230,83,"0,00",4374,"1,898"
Siekopai,Philander,andersoni,2,18,8,"100,00",4374,"0,183"
Siekopai,Pipile,cumanensis,1,51,10,"0,00",4374,"0,229"
Siekopai,Plecturocebus,discolor,1,3,1,"0,00",4374,"0,023"
Siekopai,Potos,flavus,1,3,1,"100,00",4374,"0,023"
Siekopai,Priodontes,maximus,5,14,5,"100,00",4374,"0,114"
Siekopai,Procyon,cancrivorus,5,17,9,"100,00",4374,"0,206"
Siekopai,Psophia,crepitans,21,498,256,"6,25",4374,"5,853"
Siekopai,Puma,concolor,5,24,7,"42,86",4374,"0,160"
Siekopai,Ramphastos,tucanus,3,12,3,"33,33",4374,"0,069"
Siekopai,Saimiri,cassiquiarensis,6,23,10,"0,00",4374,"0,229"
Siekopai,Sus,scrofa,0,0,0,-,4374,"0,000"
Siekopai,Tamandua,tetradactyla,7,24,8,"87,50",4374,"0,183"
Siekopai,Tapirus,terrestris,14,120,41,"75,61",4374,"0,937"
Siekopai,Tayassu,pecari,9,306,140,"23,57",4374,"3,201"
Siekopai,Tinamus,major,15,239,88,"2,27",4374,"2,012"
Siekopai,Tupinambis,cuzcoensis,2,6,2,"0,00",4374,"0,046"
