Station,Camera,gps_y,gps_x,Setup_date,Retrieval_date
1,29,-0.234411,-76.434046,2022-07-28,2022-11-24
10,13,-0.192764,-76.439500,2022-07-29,2022-11-25
11,14,-0.174809,-76.446991,2022-07-29,2022-11-25
12,15,-0.188111,-76.460998,2022-07-30,2022-11-25
13,16,-0.198657,-76.475564,2022-07-30,2022-11-23
14,17,-0.217694,-76.496117,2022-07-27,2022-11-23
15,18,-0.234637,-76.485666,2022-07-28,2022-11-23
16,19,-0.232867,-76.506877,2022-07-27,2022-11-23
17,33,-0.197880,-76.495183,2021-07-28,2021-11-24
18,21,-0.205340,-76.513813,2022-07-28,2022-11-23
19,22,-0.220377,-76.525161,2022-07-27,2022-11-23
2,31,-0.249522,-76.451389,2022-07-27,2022-10-24
21,24,-0.199393,-76.533493,2022-07-28,2022-11-24
22,25,-0.179847,-76.488493,2022-07-30,2022-11-25
23,26,-0.162641,-76.471243,2022-07-30,2022-11-25
3,32,-0.264434,-76.464566,2022-07-27,2022-09-14
4,7,-0.218803,-76.419426,2022-07-29,2022-11-25
5,8,-0.243805,-76.468671,2022-07-27,2022-11-19
6,9,-0.254082,-76.485219,2022-07-27,2022-11-23
7,10,-0.225292,-76.453422,2022-07-28,2022-11-23
8,11,-0.212999,-76.438241,2022-07-30,2022-11-24
9,12,-0.198732,-76.423502,2022-07-29,2022-11-25
