"","Station","Camera","gps_y","gps_x","Setup_date","Retrieval_date","Problem1_from","Problem1_to","Obs","Community"
"1","SGE1","SGE1",0.098522,-77.400573,2022-08-06,2022-12-01,2022-11-19,2022-12-01,"No funciona al retirar",4466.49211
"2","SGE10","SGE10",0.092618,-77.462402,2022-08-06,2022-11-30,NA,NA,"",4846.945162
"3","SGE11","SGE11",0.035216,-77.424898,2022-08-08,2022-12-01,NA,NA,"",9871.168389
"4","SGE12","SGE12",0.133207,-77.449472,2022-08-07,2022-11-30,NA,NA,"",2224.843547
"5","SGE13","SGE13",0.118916,-77.464612,2022-08-07,2022-11-30,NA,NA,"",3681.016451
"6","SGE14","SGE14",0.10723,-77.47791,2022-08-07,2022-11-30,NA,NA,"",5439.023507
"7","SGE15","SGE15",0.14866,-77.460674,2022-08-07,2022-11-29,NA,NA,"",4237.934623
"8","SGE16","SGE16",0.135232,-77.475584,2022-08-07,2022-11-29,NA,NA,"",5027.932549
"9","SGE17","SGE17",0.125354,-77.494292,2022-08-07,2022-11-29,NA,NA,"",6431.145415
"10","SGE18","SGE18",0.165074,-77.471737,2022-08-07,2022-12-01,NA,NA,"",2896.588871
"11","SGE19","SGE19",0.154599,-77.489609,2022-08-07,2022-11-29,NA,NA,"",3167.722889
"12","SGE2","SGE2",0.085779,-77.415687,2022-08-06,2022-11-24,2022-08-06,2022-11-24,"Robada",4585.661131
"13","SGE20","SGE20",0.142295,-77.500417,2022-08-05,2022-11-29,NA,NA,"",4664.382868
"14","SGE21","SGE21",0.14781,-77.517342,2022-08-08,2022-11-29,NA,NA,"",4922.847214
"15","SGE22","SGE22",0.176118,-77.493863,2022-08-05,2022-11-29,NA,NA,"",855.4125804
"16","SGE23","SGE23",0.159729,-77.50468,2022-08-05,2022-11-29,NA,NA,"No funciona al retirar",3032.817563
"17","SGE24","SGE24",0.185664,-77.503586,2022-08-02,2022-11-28,2022-11-22,2022-11-28,"",1475.693815
"18","SGE25","SGE25",0.173697,-77.519313,2022-08-05,2022-11-28,NA,NA,"",3361.674871
"19","SGE26","SGE26",0.159551,-77.533424,2022-08-05,2022-11-28,NA,NA,"",5435.586356
"20","SGE27","SGE27",0.199143,-77.508259,2022-08-04,2022-11-28,2022-10-31,2022-11-28,"No funciona al retirar",2657.528482
"21","SGE28","SGE28",0.195626,-77.525645,2022-08-04,2022-11-28,NA,NA,"",4142.428531
"22","SGE29","SGE29",0.221652,-77.5172,2022-08-04,2022-11-28,NA,NA,"",5212.705118
"23","SGE3","SGE3",0.085066,-77.444334,2022-08-10,2022-12-01,NA,NA,"",4516.074521
"24","SGE30","SGE30",0.221511,-77.536142,2022-08-04,2022-11-28,NA,NA,"",6629.302682
"25","SGE4","SGE4",0.076542,-77.430379,2022-08-06,2022-12-01,NA,NA,"",5248.113762
"26","SGE5","SGE5",0.110194,-77.417214,2022-08-06,2022-11-30,NA,NA,"",2216.343135
"27","SGE6","SGE6",0.097659,-77.432182,2022-08-06,2022-11-30,NA,NA,"",2897.655005
"28","SGE7","SGE7",0.034581,-77.439202,2022-08-08,2022-11-30,NA,NA,"",9944.982439
"29","SGE8","SGE8",0.120646,-77.434462,2022-08-03,2022-11-30,NA,NA,"",447.6690383
"30","SGE9","SGE9",0.106699,-77.4491,2022-08-06,2022-11-30,NA,NA,"",2693.771271
