"Station","CameraName","Species","DateTimeOriginal"
"SNA1","SNA1","Mazama sp.",2022-11-04 05:50:55
"SNA10","SNA10","Cuniculus paca",2022-09-01 01:25:18
"SNA10","SNA10","Cuniculus paca",2022-09-28 01:22:55
"SNA10","SNA10","Cuniculus paca",2022-10-23 23:59:14
"SNA10","SNA10","Cuniculus paca",2022-11-25 03:16:34
"SNA10","SNA10","Dasyprocta fuliginosa",2022-09-15 08:05:48
"SNA10","SNA10","Dasypus novemcinctus",2022-08-02 02:14:01
"SNA10","SNA10","Dasypus novemcinctus",2022-08-02 04:16:20
"SNA10","SNA10","Dasypus novemcinctus",2022-08-04 02:58:36
"SNA10","SNA10","Dasypus novemcinctus",2022-08-05 01:39:24
"SNA10","SNA10","Dasypus novemcinctus",2022-09-30 02:26:50
"SNA10","SNA10","Dasypus novemcinctus",2022-10-01 03:03:57
"SNA10","SNA10","Mazama americana",2022-08-27 02:51:56
"SNA10","SNA10","Mazama americana",2022-09-01 02:24:51
"SNA10","SNA10","Mazama americana",2022-09-09 07:24:17
"SNA10","SNA10","Mazama americana",2022-09-14 06:13:44
"SNA10","SNA10","Mazama americana",2022-09-20 04:11:59
"SNA10","SNA10","Mazama americana",2022-10-04 02:16:48
"SNA10","SNA10","Mazama americana",2022-10-09 02:23:49
"SNA10","SNA10","Mazama americana",2022-11-14 02:37:00
"SNA10","SNA10","Mazama americana",2022-11-14 05:43:16
"SNA10","SNA10","Mazama americana",2022-11-15 04:15:24
"SNA10","SNA10","Mazama americana",2022-11-17 02:04:11
"SNA10","SNA10","Mazama americana",2022-11-18 03:54:20
"SNA10","SNA10","Mazama americana",2022-11-20 03:49:33
"SNA10","SNA10","Mazama americana",2022-11-22 04:22:07
"SNA10","SNA10","Mazama americana",2022-11-23 04:26:38
"SNA10","SNA10","Mazama americana",2022-11-24 02:03:35
"SNA10","SNA10","Mazama americana",2022-11-25 04:24:42
"SNA10","SNA10","Nasua nasua",2022-08-18 07:56:31
"SNA10","SNA10","Tapirus terrestris",2022-08-08 01:02:20
"SNA10","SNA10","Tapirus terrestris",2022-08-28 02:45:27
"SNA10","SNA10","Tapirus terrestris",2022-09-09 05:30:46
"SNA10","SNA10","Tinamus major",2022-08-22 06:09:52
"SNA10","SNA10","Tinamus major",2022-08-31 06:02:31
"SNA10","SNA10","Tinamus major",2022-10-12 05:44:35
"SNA11","SNA11","Dasyprocta fuliginosa",2022-07-30 08:31:57
"SNA11","SNA11","Dasyprocta fuliginosa",2022-08-02 06:29:18
