"","Station","CameraName","Species","DateTimeOriginal"
"1","SNA1","SNA1","Mazama sp.","2022-11-04 05:50:55"
"2","SNA10","SNA10","Cuniculus paca","2022-09-01 01:25:18"
"3","SNA10","SNA10","Cuniculus paca","2022-09-28 01:22:55"
"4","SNA10","SNA10","Cuniculus paca","2022-10-23 23:59:14"
"5","SNA10","SNA10","Cuniculus paca","2022-11-25 03:16:34"
"6","SNA10","SNA10","Dasyprocta fuliginosa","2022-09-15 08:05:48"
"7","SNA10","SNA10","Dasypus novemcinctus","2022-08-02 02:14:01"
"8","SNA10","SNA10","Dasypus novemcinctus","2022-08-02 04:16:20"
"9","SNA10","SNA10","Dasypus novemcinctus","2022-08-04 02:58:36"
"10","SNA10","SNA10","Dasypus novemcinctus","2022-08-05 01:39:24"
"11","SNA10","SNA10","Dasypus novemcinctus","2022-09-30 02:26:50"
"12","SNA10","SNA10","Dasypus novemcinctus","2022-10-01 03:03:57"
"13","SNA10","SNA10","Mazama americana","2022-08-27 02:51:56"
"14","SNA10","SNA10","Mazama americana","2022-09-01 02:24:51"
"15","SNA10","SNA10","Mazama americana","2022-09-09 07:24:17"
"16","SNA10","SNA10","Mazama americana","2022-09-14 06:13:44"
"17","SNA10","SNA10","Mazama americana","2022-09-20 04:11:59"
"18","SNA10","SNA10","Mazama americana","2022-10-04 02:16:48"
"19","SNA10","SNA10","Mazama americana","2022-10-09 02:23:49"
"20","SNA10","SNA10","Mazama americana","2022-11-14 02:37:00"
"21","SNA10","SNA10","Mazama americana","2022-11-14 05:43:16"
"22","SNA10","SNA10","Mazama americana","2022-11-15 04:15:24"
"23","SNA10","SNA10","Mazama americana","2022-11-17 02:04:11"
"24","SNA10","SNA10","Mazama americana","2022-11-18 03:54:20"
"25","SNA10","SNA10","Mazama americana","2022-11-20 03:49:33"
"26","SNA10","SNA10","Mazama americana","2022-11-22 04:22:07"
"27","SNA10","SNA10","Mazama americana","2022-11-23 04:26:38"
"28","SNA10","SNA10","Mazama americana","2022-11-24 02:03:35"
"29","SNA10","SNA10","Mazama americana","2022-11-25 04:24:42"
"30","SNA10","SNA10","Nasua nasua","2022-08-18 07:56:31"
"31","SNA10","SNA10","Tapirus terrestris","2022-08-08 01:02:20"
"32","SNA10","SNA10","Tapirus terrestris","2022-08-28 02:45:27"
"33","SNA10","SNA10","Tapirus terrestris","2022-09-09 05:30:46"
"34","SNA10","SNA10","Tinamus major","2022-08-22 06:09:52"
"35","SNA10","SNA10","Tinamus major","2022-08-31 06:02:31"
"36","SNA10","SNA10","Tinamus major","2022-10-12 05:44:35"
"37","SNA11","SNA11","Dasyprocta fuliginosa","2022-07-30 08:31:57"
"38","SNA11","SNA11","Dasyprocta fuliginosa","2022-08-02 06:29:18"
"39","SNA11","SNA11","Dasyprocta fuliginosa","2022-09-12 05:52:14"
"40","SNA11","SNA11","Dasyprocta fuliginosa","2022-09-12 07:37:38"
"41","SNA11","SNA11","Dasyprocta fuliginosa","2022-11-07 05:56:23"
"42","SNA11","SNA11","Dasyprocta fuliginosa","2022-11-23 06:06:58"
"43","SNA11","SNA11","Dasypus novemcinctus","2022-08-04 02:53:47"
"44","SNA11","SNA11","Dicotyles tajacu","2022-08-01 09:49:57"
"45","SNA12","SNA12","Buteogallus schistaceus","2022-11-02 06:09:11"
"46","SNA12","SNA12","Cabassous unicinctus","2022-10-07 05:01:33"
"47","SNA12","SNA12","Cebus yuracus","2022-08-01 11:14:18"
"48","SNA12","SNA12","Cuniculus paca","2022-08-10 01:26:32"
"49","SNA12","SNA12","Cuniculus paca","2022-08-31 02:43:54"
"50","SNA12","SNA12","Cuniculus paca","2022-08-31 03:23:44"
"51","SNA12","SNA12","Cuniculus paca","2022-09-01 02:41:42"
"52","SNA12","SNA12","Cuniculus paca","2022-10-06 02:03:58"
"53","SNA12","SNA12","Dasyprocta fuliginosa","2022-08-14 11:00:12"
"54","SNA12","SNA12","Dasyprocta fuliginosa","2022-08-31 08:51:38"
"55","SNA12","SNA12","Dasyprocta fuliginosa","2022-09-03 07:01:29"
"56","SNA12","SNA12","Dasyprocta fuliginosa","2022-09-04 11:35:01"
"57","SNA12","SNA12","Dasyprocta fuliginosa","2022-10-06 05:52:11"
"58","SNA12","SNA12","Dasyprocta fuliginosa","2022-10-11 06:30:31"
"59","SNA12","SNA12","Dasyprocta fuliginosa","2022-10-12 11:03:19"
"60","SNA12","SNA12","Dasyprocta fuliginosa","2022-10-20 09:30:03"
"61","SNA12","SNA12","Dasyprocta fuliginosa","2022-10-20 11:35:45"
"62","SNA12","SNA12","Dasyprocta fuliginosa","2022-10-24 09:08:59"
"63","SNA12","SNA12","Dasyprocta fuliginosa","2022-10-24 09:52:12"
"64","SNA12","SNA12","Dasyprocta fuliginosa","2022-10-29 10:15:35"
"65","SNA12","SNA12","Dasyprocta fuliginosa","2022-11-10 10:02:31"
"66","SNA12","SNA12","Dasyprocta fuliginosa","2022-11-11 08:48:46"
"67","SNA12","SNA12","Dasyprocta fuliginosa","2022-11-13 06:55:35"
"68","SNA12","SNA12","Dasyprocta fuliginosa","2022-11-14 06:03:30"
"69","SNA12","SNA12","Dasyprocta fuliginosa","2022-11-18 05:57:06"
"70","SNA12","SNA12","Dasyprocta fuliginosa","2022-11-18 06:59:08"
"71","SNA12","SNA12","Dasyprocta fuliginosa","2022-11-19 08:39:17"
"72","SNA12","SNA12","Dasypus novemcinctus","2022-08-25 01:55:20"
"73","SNA12","SNA12","Dasypus novemcinctus","2022-09-19 00:56:49"
"74","SNA12","SNA12","Dicotyles tajacu","2022-08-21 08:41:13"
"75","SNA12","SNA12","Dicotyles tajacu","2022-10-05 09:39:29"
"76","SNA12","SNA12","Dicotyles tajacu","2022-11-14 11:13:22"
"77","SNA12","SNA12","Dicotyles tajacu","2022-11-17 09:23:39"
"78","SNA12","SNA12","Dicotyles tajacu","2022-11-25 06:26:48"
"79","SNA12","SNA12","Didelphis marsupialis","2022-09-03 01:17:55"
"80","SNA12","SNA12","Homo sapiens","2022-08-19 11:03:01"
"81","SNA12","SNA12","Leopardus pardalis","2022-09-09 03:18:55"
"82","SNA12","SNA12","Leopardus pardalis","2022-11-25 05:30:31"
"83","SNA12","SNA12","Mazama americana","2022-08-24 01:30:10"
"84","SNA12","SNA12","Mazama americana","2022-09-21 01:02:02"
"85","SNA12","SNA12","Mazama americana","2022-10-23 10:13:17"
"86","SNA12","SNA12","Mazama americana","2022-11-04 01:53:59"
"87","SNA12","SNA12","Myoprocta pratti","2022-08-06 06:16:10"
"88","SNA12","SNA12","Myoprocta pratti","2022-08-30 06:44:31"
"89","SNA12","SNA12","Myoprocta pratti","2022-10-12 07:05:11"
"90","SNA12","SNA12","N/D N/D","2022-08-10 10:34:04"
"91","SNA12","SNA12","N/D N/D","2022-09-25 06:02:22"
"92","SNA12","SNA12","N/D N/D","2022-11-22 06:54:04"
"93","SNA12","SNA12","Nasua nasua","2022-08-01 07:46:35"
"94","SNA12","SNA12","Nasua nasua","2022-08-11 09:14:20"
"95","SNA12","SNA12","Penelope jacquacu","2022-09-27 08:25:22"
"96","SNA12","SNA12","Procyon cancrivorus","2022-09-19 01:47:16"
"97","SNA12","SNA12","Procyon cancrivorus","2022-11-23 01:10:51"
"98","SNA12","SNA12","Psophia crepitans","2022-11-04 10:58:12"
"99","SNA12","SNA12","Psophia crepitans","2022-11-08 07:47:58"
"100","SNA12","SNA12","Psophia crepitans","2022-11-21 10:14:22"
"101","SNA12","SNA12","Psophia crepitans","2022-11-22 08:51:27"
"102","SNA12","SNA12","Psophia crepitans","2022-11-23 09:28:21"
"103","SNA12","SNA12","Psophia crepitans","2022-11-24 11:27:05"
"104","SNA12","SNA12","Puma concolor","2022-11-09 08:31:56"
"105","SNA12","SNA12","Sus scrofa","2022-10-05 09:39:33"
"106","SNA12","SNA12","Tamandua tetradactyla","2022-10-04 03:25:33"
"107","SNA12","SNA12","Tapirus terrestris","2022-08-19 11:28:29"
"108","SNA12","SNA12","Tapirus terrestris","2022-08-23 01:37:08"
"109","SNA12","SNA12","Tapirus terrestris","2022-09-19 03:47:32"
"110","SNA12","SNA12","Tinamus major","2022-09-17 05:54:21"
"111","SNA13","SNA13","Buteogallus schistaceus","2022-09-26 14:55:00"
"112","SNA13","SNA13","Buteogallus schistaceus","2022-09-28 10:48:17"
"113","SNA13","SNA13","Canis lupus","2022-08-28 14:13:40"
"114","SNA13","SNA13","Dicotyles tajacu","2022-08-23 15:36:26"
"115","SNA13","SNA13","Dicotyles tajacu","2022-08-23 18:27:08"
"116","SNA13","SNA13","Leopardus pardalis","2022-08-18 22:56:46"
"117","SNA13","SNA13","Leopardus pardalis","2022-08-28 20:11:41"
"118","SNA13","SNA13","Mazama americana","2022-08-21 03:53:06"
"119","SNA13","SNA13","Mazama americana","2022-08-24 06:31:27"
"120","SNA13","SNA13","Mazama americana","2022-08-26 18:44:17"
"121","SNA13","SNA13","Mazama americana","2022-08-26 21:19:52"
"122","SNA13","SNA13","Mazama americana","2022-08-30 07:32:18"
"123","SNA13","SNA13","Mazama americana","2022-09-02 03:23:31"
"124","SNA13","SNA13","Mazama americana","2022-09-10 20:58:08"
"125","SNA13","SNA13","Mazama americana","2022-09-12 00:33:53"
"126","SNA13","SNA13","Mazama americana","2022-09-12 21:31:11"
"127","SNA13","SNA13","Mazama americana","2022-09-20 23:19:55"
"128","SNA13","SNA13","Mazama americana","2022-09-26 20:26:51"
"129","SNA13","SNA13","Mazama americana","2022-10-08 17:41:23"
"130","SNA13","SNA13","Mazama americana","2022-10-12 02:53:03"
"131","SNA13","SNA13","Mazama americana","2022-10-30 05:20:35"
"132","SNA13","SNA13","Mazama americana","2022-11-07 19:05:34"
"133","SNA13","SNA13","Mazama americana","2022-11-10 17:42:19"
"134","SNA13","SNA13","Mazama americana","2022-11-23 02:28:24"
"135","SNA13","SNA13","Procyon cancrivorus","2022-11-04 04:23:01"
"136","SNA13","SNA13","Tinamus major","2022-10-21 06:43:58"
"137","SNA13","SNA13","Tinamus major","2022-10-24 16:12:40"
"138","SNA14","SNA14","Buteogallus schistaceus","2022-08-13 06:13:03"
"139","SNA14","SNA14","Cebus yuracus","2022-07-28 07:46:29"
"140","SNA14","SNA14","Cebus yuracus","2022-08-06 07:33:09"
"141","SNA14","SNA14","Crypturellus soui","2022-11-04 07:15:26"
"142","SNA14","SNA14","Dasyprocta fuliginosa","2022-08-12 11:00:46"
"143","SNA14","SNA14","Dasyprocta fuliginosa","2022-08-20 10:48:39"
"144","SNA14","SNA14","Dasyprocta fuliginosa","2022-08-22 06:56:05"
"145","SNA14","SNA14","Dasyprocta fuliginosa","2022-08-23 10:17:29"
"146","SNA14","SNA14","Dasyprocta fuliginosa","2022-08-29 09:41:53"
"147","SNA14","SNA14","Dasyprocta fuliginosa","2022-09-01 11:07:13"
"148","SNA14","SNA14","Dasyprocta fuliginosa","2022-09-11 09:38:19"
"149","SNA14","SNA14","Dasyprocta fuliginosa","2022-09-15 09:11:46"
"150","SNA14","SNA14","Dasyprocta fuliginosa","2022-09-18 10:00:34"
"151","SNA14","SNA14","Dasyprocta fuliginosa","2022-09-19 10:46:28"
"152","SNA14","SNA14","Dasyprocta fuliginosa","2022-09-26 07:35:57"
"153","SNA14","SNA14","Dasyprocta fuliginosa","2022-10-12 06:00:38"
"154","SNA14","SNA14","Dasyprocta fuliginosa","2022-10-12 07:56:09"
"155","SNA14","SNA14","Dasyprocta fuliginosa","2022-10-16 11:16:27"
"156","SNA14","SNA14","Dasyprocta fuliginosa","2022-10-24 07:33:20"
"157","SNA14","SNA14","Dasyprocta fuliginosa","2022-10-29 06:16:33"
"158","SNA14","SNA14","Dasyprocta fuliginosa","2022-10-29 08:04:11"
"159","SNA14","SNA14","Dasyprocta fuliginosa","2022-10-30 08:48:59"
"160","SNA14","SNA14","Dasyprocta fuliginosa","2022-10-31 06:52:07"
"161","SNA14","SNA14","Dasyprocta fuliginosa","2022-11-05 08:08:33"
"162","SNA14","SNA14","Dasyprocta fuliginosa","2022-11-05 09:32:01"
"163","SNA14","SNA14","Dasyprocta fuliginosa","2022-11-09 05:48:47"
"164","SNA14","SNA14","Dasyprocta fuliginosa","2022-11-12 07:47:32"
"165","SNA14","SNA14","Dasyprocta fuliginosa","2022-11-22 06:13:59"
"166","SNA14","SNA14","Dasyprocta fuliginosa","2022-11-23 06:02:05"
"167","SNA14","SNA14","Dasypus novemcinctus","2022-08-03 03:25:42"
"168","SNA14","SNA14","Dasypus novemcinctus","2022-09-05 03:45:28"
"169","SNA14","SNA14","Dasypus novemcinctus","2022-09-22 03:17:11"
"170","SNA14","SNA14","Dasypus novemcinctus","2022-10-04 04:51:50"
"171","SNA14","SNA14","Dasypus novemcinctus","2022-10-11 04:44:31"
"172","SNA14","SNA14","Dasypus novemcinctus","2022-10-23 03:23:52"
"173","SNA14","SNA14","Dasypus novemcinctus","2022-10-30 03:51:37"
"174","SNA14","SNA14","Dasypus novemcinctus","2022-11-02 02:46:02"
"175","SNA14","SNA14","Dasypus novemcinctus","2022-11-02 04:36:35"
"176","SNA14","SNA14","Dasypus novemcinctus","2022-11-17 05:27:15"
"177","SNA14","SNA14","Dasypus novemcinctus","2022-11-21 01:22:44"
"178","SNA14","SNA14","Dasypus novemcinctus","2022-11-23 03:50:53"
"179","SNA14","SNA14","Dicotyles tajacu","2022-08-25 11:53:17"
"180","SNA14","SNA14","Dicotyles tajacu","2022-09-17 08:50:04"
"181","SNA14","SNA14","Didelphis marsupialis","2022-08-02 01:13:01"
"182","SNA14","SNA14","Didelphis marsupialis","2022-08-02 01:48:04"
"183","SNA14","SNA14","Didelphis marsupialis","2022-08-03 01:35:03"
"184","SNA14","SNA14","Didelphis marsupialis","2022-08-10 05:42:47"
"185","SNA14","SNA14","Didelphis marsupialis","2022-08-16 01:05:28"
"186","SNA14","SNA14","Didelphis marsupialis","2022-08-23 02:36:56"
"187","SNA14","SNA14","Didelphis marsupialis","2022-08-25 03:03:10"
"188","SNA14","SNA14","Didelphis marsupialis","2022-08-27 03:48:52"
"189","SNA14","SNA14","Didelphis marsupialis","2022-09-06 06:57:11"
"190","SNA14","SNA14","Didelphis marsupialis","2022-09-08 03:42:48"
"191","SNA14","SNA14","Didelphis marsupialis","2022-09-08 04:22:28"
"192","SNA14","SNA14","Didelphis marsupialis","2022-09-18 03:09:01"
"193","SNA14","SNA14","Didelphis marsupialis","2022-10-15 01:50:20"
"194","SNA14","SNA14","Didelphis marsupialis","2022-10-21 04:34:06"
"195","SNA14","SNA14","Didelphis marsupialis","2022-11-19 05:35:09"
"196","SNA14","SNA14","Didelphis marsupialis","2022-11-23 02:34:06"
"197","SNA14","SNA14","Didelphis marsupialis","2022-11-23 03:11:18"
"198","SNA14","SNA14","Mazama americana","2022-08-06 01:44:25"
"199","SNA14","SNA14","Mazama americana","2022-11-12 05:47:48"
"200","SNA14","SNA14","Mazama nemorivaga","2022-08-24 11:30:32"
"201","SNA14","SNA14","Mazama nemorivaga","2022-09-07 09:18:54"
"202","SNA14","SNA14","Mazama nemorivaga","2022-09-30 08:08:25"
"203","SNA14","SNA14","Mazama nemorivaga","2022-10-07 10:36:41"
"204","SNA14","SNA14","Mazama nemorivaga","2022-10-25 09:45:56"
"205","SNA14","SNA14","Mazama nemorivaga","2022-11-13 11:14:11"
"206","SNA14","SNA14","Mazama nemorivaga","2022-11-21 06:29:37"
"207","SNA14","SNA14","Mazama nemorivaga","2022-11-23 06:45:32"
"208","SNA14","SNA14","Metachirus nudicaudatus","2022-11-16 04:37:07"
"209","SNA14","SNA14","Myrmecophaga tridactyla","2022-10-14 08:01:33"
"210","SNA14","SNA14","Myrmecophaga tridactyla","2022-10-17 08:57:16"
"211","SNA14","SNA14","N/D N/D","2022-08-02 02:41:31"
"212","SNA14","SNA14","N/D N/D","2022-08-03 02:04:54"
"213","SNA14","SNA14","N/D N/D","2022-08-10 04:06:38"
"214","SNA14","SNA14","N/D N/D","2022-08-20 04:16:28"
"215","SNA14","SNA14","N/D N/D","2022-08-21 05:19:58"
"216","SNA14","SNA14","N/D N/D","2022-09-12 03:36:46"
"217","SNA14","SNA14","N/D N/D","2022-09-16 03:12:30"
"218","SNA14","SNA14","N/D N/D","2022-09-21 01:17:44"
"219","SNA14","SNA14","N/D N/D","2022-09-26 04:24:22"
"220","SNA14","SNA14","N/D N/D","2022-10-07 03:39:42"
"221","SNA14","SNA14","Nasua nasua","2022-09-13 08:20:30"
"222","SNA14","SNA14","Nasua nasua","2022-11-13 07:52:50"
"223","SNA14","SNA14","Nasua nasua","2022-11-13 08:53:37"
"224","SNA14","SNA14","Panthera onca","2022-08-25 11:39:06"
"225","SNA14","SNA14","Tamandua tetradactyla","2022-08-27 00:53:30"
"226","SNA14","SNA14","Tamandua tetradactyla","2022-10-08 08:57:43"
"227","SNA14","SNA14","Tinamus major","2022-10-01 10:37:13"
"228","SNA14","SNA14","Tinamus major","2022-10-07 06:19:05"
"229","SNA14","SNA14","Tinamus major","2022-10-20 07:04:07"
"230","SNA14","SNA14","Tinamus major","2022-10-21 06:15:37"
"231","SNA14","SNA14","Tinamus major","2022-10-22 06:41:18"
"232","SNA14","SNA14","Tinamus major","2022-10-23 07:07:11"
"233","SNA14","SNA14","Tinamus major","2022-10-24 06:28:09"
"234","SNA14","SNA14","Tinamus major","2022-10-25 06:11:38"
"235","SNA14","SNA14","Tinamus major","2022-10-27 05:47:18"
"236","SNA14","SNA14","Tinamus major","2022-11-20 07:23:34"
"237","SNA15","SNA15","Mazama americana","2022-09-27 16:07:34"
"238","SNA15","SNA15","Mazama americana","2022-11-03 13:44:44"
"239","SNA15","SNA15","Mazama americana","2022-11-09 16:07:45"
"240","SNA15","SNA15","Mazama americana","2022-11-21 19:37:32"
"241","SNA16","SNA16","Buteogallus schistaceus","2022-10-05 10:34:38"
"242","SNA16","SNA16","Canis lupus","2022-08-02 11:31:38"
"243","SNA16","SNA16","Canis lupus","2022-10-26 10:18:38"
"244","SNA16","SNA16","Cebus yuracus","2022-09-17 08:01:30"
"245","SNA16","SNA16","Crypturellus soui","2022-11-03 05:50:34"
"246","SNA16","SNA16","Cuniculus paca","2022-07-27 21:28:59"
"247","SNA16","SNA16","Cuniculus paca","2022-09-25 22:28:43"
"248","SNA16","SNA16","Cuniculus paca","2022-11-13 23:24:09"
"249","SNA16","SNA16","Cuniculus paca","2022-11-19 00:10:06"
"250","SNA16","SNA16","Dasyprocta fuliginosa","2022-08-02 07:06:24"
"251","SNA16","SNA16","Dasyprocta fuliginosa","2022-08-06 11:46:30"
"252","SNA16","SNA16","Dasyprocta fuliginosa","2022-08-08 07:38:22"
"253","SNA16","SNA16","Dasyprocta fuliginosa","2022-08-11 12:56:22"
"254","SNA16","SNA16","Dasyprocta fuliginosa","2022-08-14 09:41:04"
"255","SNA16","SNA16","Dasyprocta fuliginosa","2022-08-15 12:23:36"
"256","SNA16","SNA16","Dasyprocta fuliginosa","2022-08-16 07:48:19"
"257","SNA16","SNA16","Dasyprocta fuliginosa","2022-08-17 06:25:36"
"258","SNA16","SNA16","Dasyprocta fuliginosa","2022-08-22 09:13:53"
"259","SNA16","SNA16","Dasyprocta fuliginosa","2022-08-23 16:23:04"
"260","SNA16","SNA16","Dasyprocta fuliginosa","2022-08-27 09:07:33"
"261","SNA16","SNA16","Dasyprocta fuliginosa","2022-08-28 07:55:08"
"262","SNA16","SNA16","Dasyprocta fuliginosa","2022-08-30 06:20:01"
"263","SNA16","SNA16","Dasyprocta fuliginosa","2022-08-31 07:14:29"
"264","SNA16","SNA16","Dasyprocta fuliginosa","2022-09-02 10:29:22"
"265","SNA16","SNA16","Dasyprocta fuliginosa","2022-09-08 11:50:25"
"266","SNA16","SNA16","Dasyprocta fuliginosa","2022-09-16 14:15:45"
"267","SNA16","SNA16","Dasyprocta fuliginosa","2022-09-24 06:51:25"
"268","SNA16","SNA16","Dasyprocta fuliginosa","2022-09-25 07:07:31"
"269","SNA16","SNA16","Dasyprocta fuliginosa","2022-10-03 08:55:12"
"270","SNA16","SNA16","Dasyprocta fuliginosa","2022-10-05 07:37:54"
"271","SNA16","SNA16","Dasyprocta fuliginosa","2022-10-14 08:38:32"
"272","SNA16","SNA16","Dasyprocta fuliginosa","2022-10-14 14:50:51"
"273","SNA16","SNA16","Dasyprocta fuliginosa","2022-10-16 10:22:17"
"274","SNA16","SNA16","Dasyprocta fuliginosa","2022-10-18 17:23:50"
"275","SNA16","SNA16","Dasyprocta fuliginosa","2022-10-21 09:07:41"
"276","SNA16","SNA16","Dasyprocta fuliginosa","2022-10-25 09:49:20"
