"","Station","CameraName","Species","DateTimeOriginal","Date","Time","CommunityName"
"1","ZAB11","ZAB11B","Tayassu pecari",2018-07-03 16:54:54,2018-07-03,"16:54:54","Zabalo"
"2","ZAB6","ZAB6A","Cuniculus paca",2018-07-04 19:08:46,2018-07-04,"19:08:46","Zabalo"
"3","ZAB4","ZAB4B","Mazama gouazoubira",2018-07-04 19:49:36,2018-07-04,"19:49:36","Zabalo"
"4","ZAB12","ZAB12B","Dasypus novemcinctus",2018-07-04 22:51:27,2018-07-04,"22:51:27","Zabalo"
"5","ZAB6","ZAB6A","Cuniculus paca",2018-07-04 23:45:33,2018-07-04,"23:45:33","Zabalo"
"6","ZAB13","ZAB13A","NAN NAN",2018-07-05 00:26:24,2018-07-05,"0:26:24","Zabalo"
"7","ZAB4","ZAB4A","Tapirus terrestris",2018-07-05 04:37:33,2018-07-05,"4:37:33","Zabalo"
"8","ZAB4","ZAB4B","Mazama gouazoubira",2018-07-05 04:37:45,2018-07-05,"4:37:45","Zabalo"
"9","ZAB4","ZAB4B","Mitu salvini",2018-07-05 06:33:52,2018-07-05,"6:33:52","Zabalo"
"10","ZAB13","ZAB13A","Psophia crepitans",2018-07-05 10:40:29,2018-07-05,"10:40:29","Zabalo"
"11","ZAB4","ZAB4B","Tayassu pecari",2018-07-05 11:09:04,2018-07-05,"11:09:04","Zabalo"
"12","ZAB13","ZAB13A","Dasyprocta fuliginosa",2018-07-05 16:34:14,2018-07-05,"16:34:14","Zabalo"
"13","ZAB6","ZAB6A","Cuniculus paca",2018-07-05 19:14:55,2018-07-05,"19:14:55","Zabalo"
"14","ZAB8","ZAB8A","Cuniculus paca",2018-07-05 19:55:12,2018-07-05,"19:55:12","Zabalo"
"15","ZAB6","ZAB6A","Cuniculus paca",2018-07-05 20:21:45,2018-07-05,"20:21:45","Zabalo"
"16","ZAB6","ZAB6A","Cuniculus paca",2018-07-05 20:55:08,2018-07-05,"20:55:08","Zabalo"
"17","ZAB6","ZAB6A","Cuniculus paca",2018-07-05 22:05:01,2018-07-05,"22:05:01","Zabalo"
"18","ZAB6","ZAB6A","Cuniculus paca",2018-07-05 22:56:04,2018-07-05,"22:56:04","Zabalo"
"19","ZAB6","ZAB6A","Cuniculus paca",2018-07-05 23:38:35,2018-07-05,"23:38:35","Zabalo"
"20","ZAB6","ZAB6A","Atelocynus microtis",2018-07-06 05:31:31,2018-07-06,"5:31:31","Zabalo"
"21","ZAB4","ZAB4B","Mazama americana",2018-07-06 07:49:13,2018-07-06,"7:49:13","Zabalo"
"22","ZAB13","ZAB13A","Psophia crepitans",2018-07-06 08:23:21,2018-07-06,"8:23:21","Zabalo"
"23","ZAB8","ZAB8B","Mazama gouazoubira",2018-07-06 17:09:31,2018-07-06,"17:09:31","Zabalo"
"24","ZAB28","ZAB28A","Myrmecophaga tridactyla",2018-07-06 18:16:31,2018-07-06,"18:16:31","Zabalo"
"25","ZAB11","ZAB11A","Tayassu pecari",2018-07-06 18:59:09,2018-07-06,"18:59:09","Zabalo"
"26","ZAB29","ZAB29A","Nasua nasua",2018-07-06 19:48:41,2018-07-06,"19:48:41","Zabalo"
"27","ZAB6","ZAB6A","Cuniculus paca",2018-07-06 20:22:40,2018-07-06,"20:22:40","Zabalo"
"28","ZAB6","ZAB6A","Cuniculus paca",2018-07-06 22:09:21,2018-07-06,"22:09:21","Zabalo"
"29","ZAB17","ZAB17A","Mazama americana",2018-07-06 22:44:00,2018-07-06,"22:44:00","Zabalo"
"30","ZAB6","ZAB6A","Cuniculus paca",2018-07-06 23:21:35,2018-07-06,"23:21:35","Zabalo"
"31","ZAB8","ZAB8A","Cuniculus paca",2018-07-06 23:54:18,2018-07-06,"23:54:18","Zabalo"
"32","ZAB22","ZAB22A","Tapirus terrestris",2018-07-07 01:24:05,2018-07-07,"1:24:05","Zabalo"
"33","ZAB22","ZAB22B","Mazama gouazoubira",2018-07-07 01:24:29,2018-07-07,"1:24:29","Zabalo"
"34","ZAB21","ZAB21A","Mazama gouazoubira",2018-07-07 02:32:24,2018-07-07,"2:32:24","Zabalo"
"35","ZAB8","ZAB8A","Cuniculus paca",2018-07-07 03:22:40,2018-07-07,"3:22:40","Zabalo"
"36","ZAB26","ZAB26A","Cuniculus paca",2018-07-07 03:24:07,2018-07-07,"3:24:07","Zabalo"
"37","ZAB22","ZAB22A","Psophia crepitans",2018-07-07 08:48:26,2018-07-07,"8:48:26","Zabalo"
"38","ZAB15","ZAB15A","Atelocynus microtis",2018-07-07 13:38:07,2018-07-07,"13:38:07","Zabalo"
"39","ZAB8","ZAB8A","Crypturellus undulatus",2018-07-07 16:27:36,2018-07-07,"16:27:36","Zabalo"
"40","ZAB9","ZAB9A","Myoprocta pratti",2018-07-07 21:03:31,2018-07-07,"21:03:31","Zabalo"
"41","ZAB25","ZAB25A","Cuniculus paca",2018-07-08 03:14:13,2018-07-08,"3:14:13","Zabalo"
"42","ZAB15","ZAB15A","Atelocynus microtis",2018-07-08 05:24:48,2018-07-08,"5:24:48","Zabalo"
"43","ZAB13","ZAB13A","Psophia crepitans",2018-07-08 06:38:55,2018-07-08,"6:38:55","Zabalo"
"44","ZAB24","ZAB24B","NA NA",2018-07-08 07:21:24,2018-07-08,"7:21:24","Zabalo"
"45","ZAB9","ZAB9A","Psophia crepitans",2018-07-08 08:01:15,2018-07-08,"8:01:15","Zabalo"
"46","ZAB11","ZAB11B","Mazama gouazoubira",2018-07-08 08:23:00,2018-07-08,"8:23:00","Zabalo"
"47","ZAB19","ZAB19B","Pecari tajacu",2018-07-08 08:43:00,2018-07-08,"8:43:00","Zabalo"
"48","ZAB21","ZAB21A","Mazama americana",2018-07-08 10:07:28,2018-07-08,"10:07:28","Zabalo"
"49","ZAB12","ZAB12A","Pecari tajacu",2018-07-08 15:29:46,2018-07-08,"15:29:46","Zabalo"
"50","ZAB13","ZAB13A","Psophia crepitans",2018-07-08 15:42:12,2018-07-08,"15:42:12","Zabalo"
"51","ZAB18","ZAB18B","Pecari tajacu",2018-07-08 16:10:00,2018-07-08,"16:10:00","Zabalo"
"52","ZAB3","ZAB3B","Cuniculus paca",2018-07-08 19:50:18,2018-07-08,"19:50:18","Zabalo"
"53","ZAB11","ZAB11A","Mazama gouazoubira",2018-07-08 20:23:13,2018-07-08,"20:23:13","Zabalo"
"54","ZAB3","ZAB3B","Cuniculus paca",2018-07-08 20:38:24,2018-07-08,"20:38:24","Zabalo"
"55","ZAB15","ZAB15B","Mazama gouazoubira",2018-07-08 22:31:32,2018-07-08,"22:31:32","Zabalo"
"56","ZAB8","ZAB8A","Cuniculus paca",2018-07-09 02:32:09,2018-07-09,"2:32:09","Zabalo"
"57","ZAB2","ZAB2B","Atelocynus microtis",2018-07-09 05:20:15,2018-07-09,"5:20:15","Zabalo"
"58","ZAB12","ZAB12A","Pecari tajacu",2018-07-09 06:32:51,2018-07-09,"6:32:51","Zabalo"
"59","ZAB18","ZAB18A","Psophia crepitans",2018-07-09 08:29:12,2018-07-09,"8:29:12","Zabalo"
"60","ZAB21","ZAB21B","Psophia crepitans",2018-07-09 11:04:53,2018-07-09,"11:04:53","Zabalo"
"61","ZAB7","ZAB7B","Tayassu pecari",2018-07-09 11:50:15,2018-07-09,"11:50:15","Zabalo"
"62","ZAB8","ZAB8A","Dasyprocta fuliginosa",2018-07-09 12:27:51,2018-07-09,"12:27:51","Zabalo"
"63","ZAB15","ZAB15B","Eira barbara",2018-07-09 13:02:30,2018-07-09,"13:02:30","Zabalo"
"64","ZAB7","ZAB7B","Mitu salvini",2018-07-09 13:34:30,2018-07-09,"13:34:30","Zabalo"
"65","ZAB11","ZAB11A","Atelocynus microtis",2018-07-09 15:13:05,2018-07-09,"15:13:05","Zabalo"
"66","ZAB16","ZAB16A","Psophia crepitans",2018-07-09 15:27:27,2018-07-09,"15:27:27","Zabalo"
"67","ZAB4","ZAB4A","Mitu salvini",2018-07-09 16:59:42,2018-07-09,"16:59:42","Zabalo"
"68","ZAB15","ZAB15A","Atelocynus microtis",2018-07-09 18:39:55,2018-07-09,"18:39:55","Zabalo"
"69","ZAB29","ZAB29B","Tapirus terrestris",2018-07-09 23:33:57,2018-07-09,"23:33:57","Zabalo"
"70","ZAB2","ZAB2B","Cuniculus paca",2018-07-10 00:00:03,2018-07-10,"0:00:03","Zabalo"
"71","ZAB29","ZAB29B","Tapirus terrestris",2018-07-10 02:40:09,2018-07-10,"2:40:09","Zabalo"
"72","ZAB4","ZAB4B","Crypturellus undulatus",2018-07-10 06:52:21,2018-07-10,"6:52:21","Zabalo"
"73","ZAB3","ZAB3A","Nothocrax urumutum",2018-07-10 07:10:53,2018-07-10,"7:10:53","Zabalo"
"74","ZAB18","ZAB18A","Panthera onca",2018-07-10 10:21:03,2018-07-10,"10:21:03","Zabalo"
"75","ZAB22","ZAB22A","Dasyprocta fuliginosa",2018-07-10 10:54:48,2018-07-10,"10:54:48","Zabalo"
"76","ZAB30","ZAB30B","Tayassu pecari",2018-07-10 15:28:01,2018-07-10,"15:28:01","Zabalo"
"77","ZAB30","ZAB30A","Pecari tajacu",2018-07-10 15:31:36,2018-07-10,"15:31:36","Zabalo"
"78","ZAB15","ZAB15B","Pecari tajacu",2018-07-10 16:17:23,2018-07-10,"16:17:23","Zabalo"
"79","ZAB9","ZAB9A","Psophia crepitans",2018-07-10 16:46:52,2018-07-10,"16:46:52","Zabalo"
"80","ZAB29","ZAB29B","Tapirus terrestris",2018-07-10 17:37:57,2018-07-10,"17:37:57","Zabalo"
"81","ZAB4","ZAB4B","Crypturellus undulatus",2018-07-10 17:55:52,2018-07-10,"17:55:52","Zabalo"
"82","ZAB25","ZAB25A","Myoprocta pratti",2018-07-10 18:01:38,2018-07-10,"18:01:38","Zabalo"
"83","ZAB8","ZAB8A","Tapirus terrestris",2018-07-10 18:51:54,2018-07-10,"18:51:54","Zabalo"
"84","ZAB21","ZAB21A","Cuniculus paca",2018-07-10 19:01:46,2018-07-10,"19:01:46","Zabalo"
"85","ZAB30","ZAB30A","Dasypus novemcinctus",2018-07-10 20:02:01,2018-07-10,"20:02:01","Zabalo"
"86","ZAB25","ZAB25A","Cuniculus paca",2018-07-10 21:08:10,2018-07-10,"21:08:10","Zabalo"
"87","ZAB22","ZAB22A","Dasypus novemcinctus",2018-07-10 23:16:42,2018-07-10,"23:16:42","Zabalo"
"88","ZAB8","ZAB8A","Dasyprocta fuliginosa",2018-07-11 01:09:11,2018-07-11,"1:09:11","Zabalo"
"89","ZAB16","ZAB16A","Didelphis marsupialis",2018-07-11 02:54:39,2018-07-11,"2:54:39","Zabalo"
"90","ZAB7","ZAB7B","Mazama gouazoubira",2018-07-11 05:03:06,2018-07-11,"5:03:06","Zabalo"
"91","ZAB28","ZAB28A","Mazama gouazoubira",2018-07-11 13:45:11,2018-07-11,"13:45:11","Zabalo"
"92","ZAB4","ZAB4B","Mitu salvini",2018-07-11 14:04:45,2018-07-11,"14:04:45","Zabalo"
"93","ZAB17","ZAB17A","Mazama gouazoubira",2018-07-11 16:50:00,2018-07-11,"16:50:00","Zabalo"
"94","ZAB8","ZAB8A","Mazama americana",2018-07-11 18:14:12,2018-07-11,"18:14:12","Zabalo"
"95","ZAB18","ZAB18A","Atelocynus microtis",2018-07-11 18:52:48,2018-07-11,"18:52:48","Zabalo"
"96","ZAB30","ZAB30B","Mazama americana",2018-07-11 20:57:20,2018-07-11,"20:57:20","Zabalo"
"97","ZAB30","ZAB30A","Mazama gouazoubira",2018-07-11 21:00:51,2018-07-11,"21:00:51","Zabalo"
"98","ZAB18","ZAB18A","Panthera onca",2018-07-11 22:29:59,2018-07-11,"22:29:59","Zabalo"
"99","ZAB22","ZAB22B","Cuniculus paca",2018-07-11 22:43:50,2018-07-11,"22:43:50","Zabalo"
"100","ZAB29","ZAB29A","Cuniculus paca",2018-07-11 23:00:03,2018-07-11,"23:00:03","Zabalo"
"101","ZAB30","ZAB30A","Dasypus novemcinctus",2018-07-12 00:55:56,2018-07-12,"0:55:56","Zabalo"
"102","ZAB2","ZAB2B","Dasypus novemcinctus",2018-07-12 01:31:30,2018-07-12,"1:31:30","Zabalo"
"103","ZAB25","ZAB25A","Myoprocta pratti",2018-07-12 07:32:29,2018-07-12,"7:32:29","Zabalo"
"104","ZAB3","ZAB3B","Tayassu pecari",2018-07-12 07:59:35,2018-07-12,"7:59:35","Zabalo"
"105","ZAB30","ZAB30A","Psophia crepitans",2018-07-12 11:59:05,2018-07-12,"11:59:05","Zabalo"
"106","ZAB16","ZAB16A","Mazama gouazoubira",2018-07-12 12:09:14,2018-07-12,"12:09:14","Zabalo"
"107","ZAB18","ZAB18A","Leucopternis melanops",2018-07-12 14:48:24,2018-07-12,"14:48:24","Zabalo"
