"","Station","Camera","gps_y","gps_x","Setup_date","Retrieval_date","Problem1_from","Problem1_to","Problem2_from","Problem2_to","Problem3_from","Problem3_to","Total","CommunityName"
"1","ZAB1","ZAB1A",-0.3585662,-75.650566,2018-07-04,2018-09-08,2018-07-04,2018-08-02,2018-08-10,2018-09-08,NA,NA,8,"Zabalo"
"2","ZAB1","ZAB1B",-0.3585662,-75.650566,2018-07-04,2018-09-28,2018-07-20,2018-07-30,NA,NA,NA,NA,76,"Zabalo"
"3","ZAB2","ZAB2A",-0.3480056,-75.634902,2018-07-04,2018-09-28,NA,NA,NA,NA,NA,NA,86,"Zabalo"
"4","ZAB2","ZAB2B",-0.3480056,-75.634902,2018-07-04,2018-08-17,NA,NA,NA,NA,NA,NA,44,"Zabalo"
"5","ZAB3","ZAB3A",-0.3358528,-75.619194,2018-07-04,2018-09-28,2018-07-31,2018-08-06,NA,NA,NA,NA,80,"Zabalo"
"6","ZAB3","ZAB3B",-0.3358528,-75.619194,2018-07-04,2018-09-28,NA,NA,NA,NA,NA,NA,86,"Zabalo"
"7","ZAB4","ZAB4A",-0.3183634,-75.608932,2018-07-04,2018-09-28,NA,NA,NA,NA,NA,NA,86,"Zabalo"
"8","ZAB4","ZAB4B",-0.3183634,-75.608932,2018-07-04,2018-09-28,NA,NA,NA,NA,NA,NA,86,"Zabalo"
"9","ZAB5","ZAB5A",-0.3402021,-75.651276,2018-07-04,2018-08-15,2018-07-14,2018-07-14,NA,NA,NA,NA,42,"Zabalo"
"11","ZAB6","ZAB6A",-0.3262535,-75.637213,2018-07-04,2018-07-10,2018-07-07,2018-07-10,NA,NA,NA,NA,3,"Zabalo"
"13","ZAB7","ZAB7A",-0.3110146,-75.625574,2018-07-04,2018-09-05,2018-07-31,2018-08-17,NA,NA,NA,NA,46,"Zabalo"
"14","ZAB7","ZAB7B",-0.3110146,-75.625574,2018-07-04,2018-07-22,NA,NA,NA,NA,NA,NA,18,"Zabalo"
"15","ZAB8","ZAB8A",-0.311621,-75.647736,2018-07-05,2018-09-28,2018-07-17,2018-08-11,NA,NA,NA,NA,60,"Zabalo"
"16","ZAB8","ZAB8B",-0.311621,-75.647736,2018-07-05,2018-09-28,NA,NA,NA,NA,NA,NA,85,"Zabalo"
"17","ZAB9","ZAB9A",-0.2948174,-75.638389,2018-07-05,2018-09-28,NA,NA,NA,NA,NA,NA,85,"Zabalo"
"18","ZAB9","ZAB9B",-0.2948174,-75.638389,2018-07-05,2018-09-27,NA,NA,NA,NA,NA,NA,84,"Zabalo"
"19","ZAB10","ZAB10A",-0.347342,-75.668265,2018-07-03,2018-07-21,NA,NA,NA,NA,NA,NA,18,"Zabalo"
"20","ZAB10","ZAB10B",-0.347342,-75.668265,2018-07-03,2018-09-28,NA,NA,NA,NA,NA,NA,87,"Zabalo"
"21","ZAB11","ZAB11A",-0.3266499,-75.665595,2018-07-03,2018-07-29,NA,NA,NA,NA,NA,NA,26,"Zabalo"
"22","ZAB11","ZAB11B",-0.3266499,-75.665595,2018-07-03,2018-07-04,NA,NA,NA,NA,NA,NA,1,"Zabalo"
"23","ZAB12","ZAB12A",-0.3056427,-75.664788,2018-07-04,2018-09-28,2018-07-30,2018-08-09,NA,NA,NA,NA,76,"Zabalo"
"24","ZAB12","ZAB12B",-0.3056427,-75.664788,2018-07-04,2018-07-20,NA,NA,NA,NA,NA,NA,16,"Zabalo"
"25","ZAB13","ZAB13A",-0.2879286,-75.65523,2018-07-04,2018-08-17,2018-07-22,2018-07-27,NA,NA,NA,NA,39,"Zabalo"
"26","ZAB13","ZAB13B",-0.2879286,-75.65523,2018-07-04,2018-09-24,2018-07-21,2018-07-28,2018-08-04,2018-08-10,2018-08-23,2018-08-31,61,"Zabalo"
"27","ZAB14","ZAB14A",-0.3474509,-75.68842,2018-07-05,2018-08-17,NA,NA,NA,NA,NA,NA,43,"Zabalo"
"29","ZAB15","ZAB15A",-0.3279468,-75.685591,2018-07-05,2018-09-09,2018-08-02,2018-08-22,NA,NA,NA,NA,46,"Zabalo"
"30","ZAB15","ZAB15B",-0.3279468,-75.685591,2018-07-05,2018-09-25,2018-08-10,2018-08-22,NA,NA,NA,NA,70,"Zabalo"
"31","ZAB16","ZAB16A",-0.3108065,-75.681072,2018-07-05,2018-09-29,2018-08-29,2018-09-23,NA,NA,NA,NA,61,"Zabalo"
"32","ZAB16","ZAB16B",-0.3108065,-75.681072,2018-07-05,2018-09-01,NA,NA,NA,NA,NA,NA,58,"Zabalo"
"33","ZAB17","ZAB17A",-0.2913461,-75.675559,2018-07-05,2018-09-28,2018-07-18,2018-07-31,2018-08-13,2018-08-18,NA,NA,67,"Zabalo"
"34","ZAB17","ZAB17B",-0.2913461,-75.675559,2018-07-05,2018-09-28,2018-07-05,2018-07-14,NA,NA,NA,NA,76,"Zabalo"
"35","ZAB18","ZAB18A",-0.2913924,-75.693832,2018-07-08,2018-09-18,NA,NA,NA,NA,NA,NA,72,"Zabalo"
"36","ZAB18","ZAB18B",-0.2913924,-75.693832,2018-07-08,2018-09-18,2018-07-19,2018-08-10,NA,NA,NA,NA,50,"Zabalo"
"37","ZAB19","ZAB19A",-0.3105419,-75.699043,2018-07-06,2018-08-06,NA,NA,NA,NA,NA,NA,31,"Zabalo"
"40","ZAB20","ZAB20B",-0.3329209,-75.703019,2018-07-08,2018-09-03,NA,NA,NA,NA,NA,NA,57,"Zabalo"
"41","ZAB21","ZAB21A",-0.2704756,-75.695876,2018-07-06,2018-08-30,2018-07-28,2018-08-06,NA,NA,NA,NA,46,"Zabalo"
"42","ZAB21","ZAB21B",-0.2704756,-75.695876,2018-07-06,2018-10-02,2018-07-28,2018-08-06,NA,NA,NA,NA,79,"Zabalo"
"43","ZAB22","ZAB22A",-0.2720679,-75.676593,2018-07-06,2018-10-02,NA,NA,NA,NA,NA,NA,88,"Zabalo"
"44","ZAB22","ZAB22B",-0.2720679,-75.676593,2018-07-06,2018-07-15,NA,NA,NA,NA,NA,NA,9,"Zabalo"
"46","ZAB23","ZAB23B",-0.3137281,-75.720214,2018-07-06,2018-08-30,NA,NA,NA,NA,NA,NA,55,"Zabalo"
"47","ZAB24","ZAB24A",-0.3174331,-75.735311,2018-07-14,2018-08-23,NA,NA,NA,NA,NA,NA,40,"Zabalo"
"48","ZAB24","ZAB24B",-0.3174331,-75.735311,2018-07-06,2018-10-09,NA,NA,NA,NA,NA,NA,95,"Zabalo"
