"","Station","River","Community","Hunting","Habitat","Effort","Trail.Distance","CommunityRaw","RiverRaw","EffortRaw","OnTrail","Trail.DistanceRaw"
"1","ZAB1",-1.4551755807239,-1.45621946843575,"1","Upland",-0.214192073129709,-1.07698420815247,1.95,1.02,84,"1",0
"2","ZAB2",-0.589507660896529,-0.662383533122006,"1","Lowland",0.794630660382232,-1.07698420815247,3.81,3.15,130,"1",0
"3","ZAB3",0.300545270756969,0.25095458600241,"0","Upland",1.58414410400027,-1.07698420815247,5.95,5.34,166,"1",0
"4","ZAB4",1.18653403377278,1.06186226186054,"0","Upland",1.71572967793661,0.297889249063451,7.85,7.52,172,"0",2
"5","ZAB5",-0.796780261418576,-1.17026781431736,"1","Upland",-1.13529109068409,-1.07698420815247,2.62,2.64,42,"1",0
"6","ZAB6",0.00386096020580287,-0.22278621410418,"0","Lowland",-1.9905973212703,-0.389547479544512,4.84,4.61,3,"0",1
"7","ZAB7",0.828887193656305,0.652140488795377,"0","Upland",-0.65281065291751,0.985325977671413,6.89,6.64,64,"0",3
"8","ZAB8",0.361507800322277,0.0631654400142118,"0","Lowland",1.12359459522308,0.297889249063451,5.51,5.49,145,"0",2
"9","ZAB9",1.25156073197577,0.938092142913769,"0","Upland",1.64993689096844,1.67276270627938,7.56,7.68,169,"0",4
"10","ZAB10",-1.3616997020571,-1.82752982527605,"1","Upland",0.246357435647481,-1.07698420815247,1.08,1.25,105,"1",0
"11","ZAB11",-0.451325927215164,-0.854440614246299,"1","Upland",-1.46425502552494,-1.07698420815247,3.36,3.49,27,"1",0
"12","ZAB12",0.645999604960381,0.169863818416597,"0","Upland",-0.038744641214589,-0.389547479544512,5.76,6.19,92,"0",1
"13","ZAB13",1.53198836797619,1.05759432672444,"0","Upland",0.136702790700531,0.985325977671413,7.84,8.37,100,"0",3
"14","ZAB14",-1.43891890617315,-1.17026781431736,"1","Swamp",-1.1133601616947,-0.389547479544512,2.62,1.06,43,"0",1
"15","ZAB15",-0.569186817708093,-0.64957972771372,"1","Upland",0.487597654530772,-0.389547479544512,3.84,3.2,116,"0",1
"16","ZAB16",-0.705336467070614,0.00341434810887632,"1","Lowland",0.553390441498942,-0.389547479544512,5.37,2.865,119,"0",1
"17","ZAB17",1.12557150420747,0.865537245600147,"0","Upland",1.0797327372443,0.985325977671413,7.39,7.37,143,"0",3
"18","ZAB18",0.426534498525272,1.04905845645225,"0","Upland",0.619183228467112,-0.389547479544512,7.82,5.65,122,"0",1
"19","ZAB19",-0.44319758993979,0.366188834676985,"1","Upland",-1.37653130956738,-1.07698420815247,6.22,3.51,31,"1",0
"20","ZAB20",-1.43485473753547,-0.244125889784657,"1","Upland",-0.80632715584324,-1.07698420815247,4.79,1.07,57,"1",0
"21","ZAB21",1.33690827336721,2.03921940802638,"0","Upland",0.684976015435282,1.67276270627938,10.14,7.89,125,"0",4
"22","ZAB22",1.56450171707769,1.7447318836358,"0","Upland",0.0709100037323611,1.67276270627938,9.45,8.45,97,"0",4
"23","ZAB23",-0.853678622346197,-0.214250343831989,"1","Lowland",-0.85018901382202,0.297889249063451,4.86,2.5,55,"0",2
"24","ZAB24",-0.991860356027562,-0.961138992648684,"1","Swamp",0.904285305329182,1.67276270627938,3.11,2.16,135,"0",4
"25","ZAB25",-0.0652299066348796,-0.235590019512466,"1","Lowland",-0.214192073129709,0.297889249063451,4.81,4.44,84,"0",2
"26","ZAB26",0.739475483627187,0.583853526617851,"0","Upland",0.268288364636871,0.985325977671413,6.73,6.42,106,"0",3
"27","ZAB27",-1.40640555707166,-1.72509938200976,"1","Upland",-1.70549524440823,-1.07698420815247,1.32,1.14,16,"1",0
"28","ZAB28",-0.536673468606595,-0.816029198021441,"1","Upland",-0.236123002119099,-1.07698420815247,3.45,3.28,83,"1",0
"29","ZAB29",0.564716232206637,0.276562196818982,"0","Lowland",-0.060675570203979,0.297889249063451,6.01,5.99,91,"0",2
"30","ZAB30",1.23123988878734,1.08746987267711,"0","Upland",-0.060675570203979,0.985325977671413,7.91,7.63,91,"0",3
